句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
qwen3.6-plus,沁园春,江天咏怀,芦花飞雪,qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,0.8807,0.2500,0.6307
qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,qwen3.6-plus,沁园春,秋望,芦花飞雪,0.8807,0.2500,0.6307
qwen3.6-plus,沁园春,江天咏怀,芦花飞雪,qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,0.8807,0.2500,0.6307
qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,qwen3.6-plus,沁园春,秋望,芦花飞雪,0.8807,0.2500,0.6307
qwen3.6-plus,沁园春,秋江夜泊,芦花飞雪,qwen3.6-plus,祝英台近,秋江夜泊,荻雪飞霜,0.8807,0.2500,0.6307
qwen3.6-plus,祝英台近,秋夜怀远,残灯照壁,deepseek-3.2-thinking,祝英台近,秋夕感怀,寒灯映残稿,0.8522,0.2222,0.6300
glm-5,祝英台近,秋暮怀远,倚危栏,glm-5,菩萨蛮,春晚,独倚玉阑干,0.8794,0.2500,0.6294
doubao-seed-2.0-pro,浪淘沙,秋泊感旧,不负盟鸥,doubao-seed-2.0-pro,祝英台近,秋晚过西溪旧游处,鸥盟竟谁负,0.8509,0.2222,0.6287
qwen3.6-plus,沁园春,秋江望月,韶华易逝,deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,0.8785,0.2500,0.6285
deepseek-3.2-thinking,沁园春,春暮游湖,韶华易逝,deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,0.8785,0.2500,0.6285
deepseek-3.2-thinking,祝英台近,秋夜寄友,逝水年华,glm-5,沁园春,暮秋登楼,韶华易逝,0.8785,0.2500,0.6285
doubao-seed-2.0-pro,菩萨蛮,秋夜枫桥怀友,鸿影过遥汀,doubao-seed-2.0-pro,沁园春,秋过西湖故友旧居,雁度远汀,0.8502,0.2222,0.6280
doubao-seed-2.0-pro,菩萨蛮,秋夜枫桥怀友,鸿影过遥汀,doubao-seed-2.0-pro,沁园春,秋暮登北固山有怀,雁度远汀,0.8502,0.2222,0.6280
doubao-seed-2.0-pro,沁园春,北固山秋望,寒江卷浪,doubao-seed-2.0-pro,沁园春,秋日登北固楼,浪卷寒汀,0.8768,0.2500,0.6268
qwen3.6-plus,沁园春,秋暮登楼,冷透轻裘,deepseek-3.2-thinking,祝英台近,江晚怀旧,罗衣寒透,0.8756,0.2500,0.6256
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,glm-5,浪淘沙,江上怀远,独倚阑干,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,deepseek-3.2-thinking,祝英台近,晚秋寄远,独倚阑干,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,glm-5,祝英台近,秋暮独倚,独倚阑干,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,deepseek-3.2-thinking,祝英台近,秋夜怀人,独倚阑干,0.8735,0.2500,0.6235
doubao-seed-2.0-pro,祝英台近,秋夜寄远,独倚阑干,qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,deepseek-3.2-thinking,祝英台近,秋夕感怀,独倚阑干,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,deepseek-3.2-thinking,祝英台近,夏夜怀乡,独倚阑干,0.8735,0.2500,0.6235
qwen3.6-plus,祝英台近,秋登吴台怀古,长倚危栏,deepseek-3.2-thinking,祝英台近,秋江寄怀,独倚阑干,0.8735,0.2500,0.6235
doubao-seed-2.0-pro,浪淘沙,秋泊感旧,不负盟鸥,qwen3.6-plus,沁园春,秋暮登楼,鸥盟已负,0.8733,0.2500,0.6233
doubao-seed-2.0-pro,沁园春,秋暮登北固山有怀,霜染枫殷,qwen3.6-plus,沁园春,秋江望古,枫林染赤,0.8721,0.2500,0.6221
qwen3.6-plus,祝英台近,秋江晚泊,霜鬓添秋,glm-5,浪淘沙,江上偶感,鬓染秋霜,0.8712,0.2500,0.6212
qwen3.6-plus,菩萨蛮,秋江夜泊,秋江暮色连平楚,qwen3.6-plus,菩萨蛮,秋江暮眺,暮江烟水连天碧,0.9054,0.2857,0.6197
doubao-seed-2.0-pro,浪淘沙,秋晚登京口北固亭,云阔天宽,deepseek-3.2-thinking,沁园春,江夜感怀,江阔云低,0.8690,0.2500,0.6190
doubao-seed-2.0-pro,浪淘沙,秋晚登京口北固亭,云阔天宽,deepseek-3.2-thinking,沁园春,江夜抒怀,江阔云低,0.8690,0.2500,0.6190
qwen3.6-plus,沁园春,秋望怀古,江河浩浩,qwen3.6-plus,沁园春,秋望,浩荡江川,0.8676,0.2500,0.6176
glm-5,沁园春,观海抒怀,雪花如怒,glm-5,沁园春,观海抒怀,怒潮如雪,0.8671,0.2500,0.6171
doubao-seed-2.0-pro,浪淘沙,客中秋思,目断云平,doubao-seed-2.0-pro,清平乐,秋郊晚望,平芜望断,0.8668,0.2500,0.6168
doubao-seed-2.0-pro,清平乐,秋溪闲饮,篱边菊吐,deepseek-3.2-thinking,沁园春,秋日感怀,菊黄篱畔,0.8649,0.2500,0.6149
doubao-seed-2.0-pro,沁园春,秋过吴兴故城,平林如黛,deepseek-3.2-thinking,沁园春,暮秋登楼有怀,远岫如眉,0.8632,0.2500,0.6132
qwen3.6-plus,沁园春,秋望,烟横野渡,qwen3.6-plus,沁园春,云海观潮,古渡横烟,0.8631,0.2500,0.6131
doubao-seed-2.0-pro,沁园春,钱塘观潮,危栏倚,glm-5,沁园春,秋怀,独倚危阑,0.8976,0.2857,0.6119
doubao-seed-2.0-pro,沁园春,钱塘观潮,危栏倚,glm-5,祝英台近,秋夜听雨,独倚危阑,0.8976,0.2857,0.6119
doubao-seed-2.0-pro,沁园春,钱塘观潮,危栏倚,glm-5,菩萨蛮,秋夜怀远,独倚玉栏杆,0.8615,0.2500,0.6115
doubao-seed-2.0-pro,祝英台近,过旧居怀友,苔径古,qwen3.6-plus,祝英台近,秋山行吟,石径苔侵,0.8953,0.2857,0.6096
qwen3.6-plus,祝英台近,秋江吟,远山凝黛,deepseek-3.2-thinking,沁园春,暮秋登楼有怀,远岫如眉,0.8590,0.2500,0.6090
qwen3.6-plus,沁园春,秋江晚眺,长天极目,deepseek-3.2-thinking,祝英台近,冬夜寄怀,望极天涯,0.8586,0.2500,0.6086
qwen3.6-plus,沁园春,秋江晚眺,长天极目,glm-5,祝英台近,秋思,望极天涯,0.8586,0.2500,0.6086
doubao-seed-2.0-pro,沁园春,北固亭秋望,霜染丹枫,qwen3.6-plus,沁园春,秋江望古,枫林染赤,0.8574,0.2500,0.6074
doubao-seed-2.0-pro,沁园春,秋日登玉皇山望浙江怀古,岸荻翻霜,doubao-seed-2.0-pro,沁园春,秋日登吴山望钱塘作,风翻岸苇,0.8572,0.2500,0.6072
doubao-seed-2.0-pro,沁园春,秋登北固山怀古,沾衣欲湿,glm-5,浪淘沙,秋江晚望,露湿衣裳,0.8570,0.2500,0.6070
doubao-seed-2.0-pro,浪淘沙,客舟晚望,十载飘零萍迹远,qwen3.6-plus,祝英台近,秋江夜泊,十年踪迹萍飘,0.9140,0.3077,0.6063
doubao-seed-2.0-pro,浪淘沙,客舟晚望,十载飘零萍迹远,qwen3.6-plus,祝英台近,秋暮登临,十年踪迹萍飘,0.9140,0.3077,0.6063
doubao-seed-2.0-pro,祝英台近,暮春怀京口旧游,怕倚危阑,glm-5,浪淘沙,秋江旅怀,独倚画栏,0.8556,0.2500,0.6056
doubao-seed-2.0-pro,沁园春,秋登北固山怀稼轩,藓蚀碑残,doubao-seed-2.0-pro,沁园春,秋暮登北固山有怀,危碑字剥,0.8548,0.2500,0.6048
doubao-seed-2.0-pro,沁园春,秋日登吴山望钱塘作,叹霜华点鬓,deepseek-3.2-thinking,祝英台近,秋夜怀人,鬓霜添,0.8547,0.2500,0.6047
doubao-seed-2.0-pro,祝英台近,暮春怀京口旧游,怕倚危阑,qwen3.6-plus,浪淘沙,江晨,空倚栏干,0.8545,0.2500,0.6045
qwen3.6-plus,祝英台近,秋江送别,叹浮生、聚散如萍,qwen3.6-plus,浪淘沙,秋江夜泊,聚散浮生原似梦,0.8712,0.2667,0.6045
qwen3.6-plus,沁园春,雪夜观星,任霜华侵鬓,deepseek-3.2-thinking,祝英台近,秋夜怀人,鬓霜添,0.8545,0.2500,0.6045
deepseek-3.2-thinking,沁园春,数字时代感怀,今古交融,deepseek-3.2-thinking,沁园春,数字古典赋,融合古今,0.8543,0.2500,0.6043
doubao-seed-2.0-pro,沁园春,秋过西湖故友旧居,雁度远汀,qwen3.6-plus,浪淘沙,江行秋望,雁过寒洲,0.8540,0.2500,0.6040
doubao-seed-2.0-pro,沁园春,秋暮登北固山有怀,雁度远汀,qwen3.6-plus,浪淘沙,江行秋望,雁过寒洲,0.8540,0.2500,0.6040
qwen3.6-plus,沁园春,秋江夜眺,水摇清影,deepseek-3.2-thinking,浪淘沙,夜航,波影摇天,0.8529,0.2500,0.6029
doubao-seed-2.0-pro,祝英台近,秋末访旧居,砌蛩鸣,qwen3.6-plus,祝英台近,秋登吴台怀古,荒阶蛩语急,0.8516,0.2500,0.6016
doubao-seed-2.0-pro,祝英台近,秋晚过故园,砌蛩鸣,qwen3.6-plus,祝英台近,秋登吴台怀古,荒阶蛩语急,0.8516,0.2500,0.6016
doubao-seed-2.0-pro,祝英台近,过故人废园,砌蛩鸣,qwen3.6-plus,祝英台近,秋登吴台怀古,荒阶蛩语急,0.8516,0.2500,0.6016
glm-5,菩萨蛮,秋夜怀远,独倚玉栏杆,glm-5,祝英台近,秋思,倚危阑,0.8513,0.2500,0.6013
glm-5,菩萨蛮,秋夜怀远,独倚玉栏杆,glm-5,祝英台近,山居寄怀,倚危阑,0.8513,0.2500,0.6013
doubao-seed-2.0-pro,沁园春,太湖秋泛,浪卷云收,deepseek-3.2-thinking,浪淘沙,云壑晓行,雾卷风翻,0.8512,0.2500,0.6012
doubao-seed-2.0-pro,祝英台近,秋窗忆远,阶下暗蛩语,doubao-seed-2.0-pro,祝英台近,秋末访旧居,砌蛩鸣,0.8508,0.2500,0.6008
doubao-seed-2.0-pro,祝英台近,秋窗忆远,阶下暗蛩语,doubao-seed-2.0-pro,祝英台近,过故人废园,砌蛩鸣,0.8508,0.2500,0.6008
doubao-seed-2.0-pro,祝英台近,秋晚过故园,砌蛩鸣,doubao-seed-2.0-pro,祝英台近,秋窗忆远,阶下暗蛩语,0.8508,0.2500,0.6008
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,秋日寄怀,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,星海幽思,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,qwen3.6-plus,浪淘沙,江夜书怀,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,glm-5,浪淘沙,秋江晚望,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,秋思,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,秋日怀人,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,暮秋感怀,独倚危栏,0.8506,0.2500,0.6006
doubao-seed-2.0-pro,祝英台近,秋窗忆远,倦倚层阑,deepseek-3.2-thinking,祝英台近,云崖秋思,独倚危栏,0.8506,0.2500,0.6006
