句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,清平乐,校隅见玉兰有感,负了韶华过半,doubao-seed-2.0-pro,清平乐,春暮见玉兰有感,误却春光一半,0.8576,0.1667,0.6910
deepseek-3.2-thinking,清平乐,见玉兰有感,素华皎洁如霜,doubao-seed-2.0-pro,清平乐,校中见玉兰作,冰姿皎皎清寒,0.8549,0.1667,0.6882
doubao-seed-2.0-pro,菩萨蛮,春日见玉兰作,春寒漫透单衣湿,doubao-seed-2.0-pro,菩萨蛮,庭中见玉兰偶题,风冷透春衫,0.8528,0.1667,0.6861
doubao-seed-2.0-pro,菩萨蛮,春日见玉兰作,春寒漫透单衣湿,doubao-seed-2.0-pro,菩萨蛮,校园见玉兰花作,风冷透春衫,0.8528,0.1667,0.6861
deepseek-3.2-thinking,清平乐,白玉兰开有感,洗尽尘烦俗虑,deepseek-3.2-thinking,清平乐,玉兰新悟,顿觉尘嚣尽洗,0.8509,0.1667,0.6843
qwen3.6-plus,菩萨蛮,初春见玉兰有感,冰姿凝素洁,doubao-seed-2.0-pro,祝英台近,春暮见玉兰感作,冰肌缀清岫,0.8807,0.2000,0.6807
qwen3.6-plus,祝英台近,玉兰庭立,玉魄冰姿,doubao-seed-2.0-pro,沁园春,校道见玉兰花作,抱冰肌雪魄,0.9022,0.2222,0.6800
deepseek-3.2-thinking,清平乐,见玉兰有感,素华皎洁如霜,qwen3.6-plus,祝英台近,玉兰树下有感,皎皎冰姿,0.8790,0.2000,0.6790
deepseek-3.2-thinking,沁园春,玉兰新悟,玉树琼葩,doubao-seed-2.0-pro,沁园春,庭前见玉兰作,万朵琼英缀玉坡,0.8607,0.1818,0.6789
doubao-seed-2.0-pro,菩萨蛮,校隅见玉兰花作,琼葩缀玉丛,doubao-seed-2.0-pro,浪淘沙,院隅见玉兰感作,玉蕊绽琼瑶,0.8769,0.2000,0.6769
deepseek-3.2-thinking,菩萨蛮,春暮见玉兰,玉树绽琼芳,doubao-seed-2.0-pro,菩萨蛮,校隅见玉兰花作,琼葩缀玉丛,0.8767,0.2000,0.6767
doubao-seed-2.0-pro,浪淘沙,见玉兰感作,枝上玉苞匀,doubao-seed-2.0-pro,菩萨蛮,春日见玉兰作,枝头琼蕊绽,0.8754,0.2000,0.6754
deepseek-3.2-thinking,沁园春,玉兰春感,有冰肌雪魄,qwen3.6-plus,祝英台近,玉兰庭立,玉魄冰姿,0.8953,0.2222,0.6730
qwen3.6-plus,菩萨蛮,初春见玉兰有感,冰姿凝素洁,doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,素姿清胜雪,0.8723,0.2000,0.6723
deepseek-3.2-thinking,菩萨蛮,春暮见玉兰,玉树绽琼芳,doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,琼枝缀玉容,0.8712,0.2000,0.6712
doubao-seed-2.0-pro,浪淘沙,校隅见玉兰感作,冰玉缀枝端,doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,琼枝缀玉容,0.8701,0.2000,0.6701
deepseek-3.2-thinking,菩萨蛮,遇玉兰有感,静里悟真诠,deepseek-3.2-thinking,祝英台近,见玉兰有感,真谛顿悟,0.8913,0.2222,0.6691
doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,doubao-seed-2.0-pro,沁园春,见玉兰感怀,素萼凝霜,0.8902,0.2222,0.6679
doubao-seed-2.0-pro,菩萨蛮,春日校园见玉兰感作,轻寒透薄裾,doubao-seed-2.0-pro,浪淘沙,校隅见玉兰作,袖薄怯春寒,0.8675,0.2000,0.6675
qwen3.6-plus,祝英台近,玉兰引,素萼凝霜立,doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,0.8675,0.2000,0.6675
qwen3.6-plus,清平乐,玉兰启思,素华凝雪枝头,qwen3.6-plus,祝英台近,见玉兰有感,满枝凝素,0.8672,0.2000,0.6672
qwen3.6-plus,沁园春,玉兰下自警,冰肌自洁,doubao-seed-2.0-pro,清平乐,校中见玉兰作,冰姿皎皎清寒,0.8658,0.2000,0.6658
qwen3.6-plus,菩萨蛮,玉阑春望,素蕊凝霜明,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8656,0.2000,0.6656
doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,琼枝缀玉容,doubao-seed-2.0-pro,浪淘沙,校园见白玉兰感作,玉雪缀枝桠,0.8652,0.2000,0.6652
doubao-seed-2.0-pro,菩萨蛮,校园见玉兰感怀,素艳凝霜雪,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8647,0.2000,0.6647
deepseek-3.2-thinking,菩萨蛮,白玉兰开有感,玉英如雪洁,doubao-seed-2.0-pro,菩萨蛮,阶下望玉兰作,冰葩清似雪,0.8643,0.2000,0.6643
deepseek-3.2-thinking,浪淘沙,见玉兰感怀,玉蕊缀枝头,doubao-seed-2.0-pro,浪淘沙,见玉兰感作,枝上玉苞匀,0.8632,0.2000,0.6632
qwen3.6-plus,沁园春,玉兰照夜,似冰绡剪月,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,似素娥裁雪,0.8615,0.2000,0.6615
doubao-seed-2.0-pro,菩萨蛮,春日校园见玉兰感作,轻寒透薄裾,doubao-seed-2.0-pro,菩萨蛮,校园见玉兰花作,风冷透春衫,0.8590,0.2000,0.6590
doubao-seed-2.0-pro,菩萨蛮,春日校园见玉兰感作,轻寒透薄裾,doubao-seed-2.0-pro,菩萨蛮,庭中见玉兰偶题,风冷透春衫,0.8590,0.2000,0.6590
deepseek-3.2-thinking,沁园春,白玉兰春感,素蕊凝霜,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8810,0.2222,0.6588
doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,琼枝缀玉容,doubao-seed-2.0-pro,浪淘沙,院隅见玉兰感作,玉蕊绽琼瑶,0.8583,0.2000,0.6583
qwen3.6-plus,沁园春,玉兰有感,忽琼枝缀雪,doubao-seed-2.0-pro,浪淘沙,校园见白玉兰感作,玉雪缀枝桠,0.8577,0.2000,0.6577
deepseek-3.2-thinking,沁园春,见玉兰有感,对残灯孤影,qwen3.6-plus,祝英台近,玉兰见志,孤灯照残卷,0.8576,0.2000,0.6576
deepseek-3.2-thinking,沁园春,见玉兰有感,对残灯孤影,qwen3.6-plus,祝英台近,玉兰惊梦,孤灯照残卷,0.8576,0.2000,0.6576
doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,doubao-seed-2.0-pro,菩萨蛮,阶前观玉兰有感,素蕊凝清露,0.8575,0.2000,0.6575
doubao-seed-2.0-pro,祝英台近,校中见玉兰作,顿觉豁襟腑,doubao-seed-2.0-pro,沁园春,见玉兰有感,觉襟怀顿爽,0.8575,0.2000,0.6575
qwen3.6-plus,清平乐,玉兰照影,素萼破寒轻绽,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰绡初绽,0.8575,0.2000,0.6575
deepseek-3.2-thinking,沁园春,见玉兰有感,清姿傲雪,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,冰肌本傲霜浓,0.8572,0.2000,0.6572
qwen3.6-plus,沁园春,玉兰启悟,琼枝初绽,qwen3.6-plus,祝英台近,玉兰庭立,素萼初破寒枝,0.8572,0.2000,0.6572
qwen3.6-plus,浪淘沙,玉兰照影,素萼破霜英,doubao-seed-2.0-pro,菩萨蛮,见玉兰感怀,素苞凝雪满,0.8572,0.2000,0.6572
doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,doubao-seed-2.0-pro,清平乐,校道见玉兰感作,冰肌玉骨凝霜,0.8571,0.2000,0.6571
qwen3.6-plus,祝英台近,玉兰引,素萼凝霜立,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8563,0.2000,0.6563
doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,doubao-seed-2.0-pro,菩萨蛮,见玉兰感怀,素苞凝雪满,0.8559,0.2000,0.6559
deepseek-3.2-thinking,祝英台近,玉兰悟,尘心洗净,deepseek-3.2-thinking,祝英台近,见玉兰有感,净洗尘襟,0.9058,0.2500,0.6558
deepseek-3.2-thinking,祝英台近,见玉兰有感,净洗尘襟,deepseek-3.2-thinking,祝英台近,见玉兰有感,尘心洗净,0.9058,0.2500,0.6558
deepseek-3.2-thinking,浪淘沙,玉兰吟,花气涤尘烦,doubao-seed-2.0-pro,菩萨蛮,校园见玉兰作,尘襟消俗恼,0.8554,0.2000,0.6554
deepseek-3.2-thinking,沁园春,玉兰赋,玉兰绽雪,doubao-seed-2.0-pro,沁园春,见校园玉兰盛开感怀,琼英似雪凝霜,0.8545,0.2000,0.6545
deepseek-3.2-thinking,菩萨蛮,白玉兰下感怀,皎洁如明镜,doubao-seed-2.0-pro,菩萨蛮,春日校园见玉兰感作,皎皎清光彻,0.8541,0.2000,0.6541
qwen3.6-plus,菩萨蛮,初春见玉兰有感,冰姿凝素洁,doubao-seed-2.0-pro,菩萨蛮,阶下望玉兰作,冰葩清似雪,0.8539,0.2000,0.6539
deepseek-3.2-thinking,沁园春,玉兰春感,有冰肌雪魄,deepseek-3.2-thinking,沁园春,见玉兰有感,冰魂傲骨,0.8760,0.2222,0.6538
doubao-seed-2.0-pro,清平乐,校中见玉兰作,卷叠愁难扫,doubao-seed-2.0-pro,菩萨蛮,春日校园见玉兰作,扫却愁千叠,0.8535,0.2000,0.6535
qwen3.6-plus,沁园春,玉兰吟,素萼冲寒,qwen3.6-plus,清平乐,玉兰启悟,素英破雪初妆,0.8535,0.2000,0.6535
deepseek-3.2-thinking,沁园春,玉兰新悟,洁如霜雪,deepseek-3.2-thinking,菩萨蛮,白玉兰开有感,玉英如雪洁,0.8756,0.2222,0.6534
qwen3.6-plus,沁园春,玉兰启悟,玉萼凌霜,doubao-seed-2.0-pro,沁园春,见校园玉兰盛开感怀,琼英似雪凝霜,0.8533,0.2000,0.6533
doubao-seed-2.0-pro,沁园春,校园见白玉兰感怀,尘襟顿豁,doubao-seed-2.0-pro,祝英台近,校中见玉兰作,顿觉豁襟腑,0.8754,0.2222,0.6532
deepseek-3.2-thinking,菩萨蛮,白玉兰下感怀,皎洁如明镜,doubao-seed-2.0-pro,菩萨蛮,春日见玉兰偶作,皎皎清辉彻,0.8526,0.2000,0.6526
deepseek-3.2-thinking,沁园春,玉兰春悟,看冰肌素魄,qwen3.6-plus,祝英台近,玉兰庭立,玉魄冰姿,0.8744,0.2222,0.6522
deepseek-3.2-thinking,菩萨蛮,见玉兰感怀,素华凝雪洁,doubao-seed-2.0-pro,菩萨蛮,阶下望玉兰作,冰葩清似雪,0.8515,0.2000,0.6515
deepseek-3.2-thinking,祝英台近,见玉兰感怀,皎洁映清曙,deepseek-3.2-thinking,菩萨蛮,见玉兰有感,皎皎凝霜色,0.8514,0.2000,0.6514
deepseek-3.2-thinking,祝英台近,见玉兰感怀,独倚栏杆,doubao-seed-2.0-pro,祝英台近,校中见玉兰作,倦倚阑干,0.9012,0.2500,0.6512
deepseek-3.2-thinking,祝英台近,见玉兰感怀,独倚栏杆,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,倦倚阑干,0.9012,0.2500,0.6512
doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,雪艳清辉,doubao-seed-2.0-pro,沁园春,校隅见玉兰作,玉葩皓质清妍,0.8511,0.2000,0.6511
deepseek-3.2-thinking,清平乐,见玉兰有感,皎洁似雪皑皑,qwen3.6-plus,沁园春,玉兰见志,霜姿皎皎,0.8510,0.2000,0.6510
qwen3.6-plus,沁园春,玉兰照影,念冰肌自洁,qwen3.6-plus,沁园春,咏玉兰,想冰心玉质,0.8502,0.2000,0.6502
qwen3.6-plus,祝英台近,玉兰偶得,残笺乱聚,doubao-seed-2.0-pro,沁园春,校中见玉兰感怀,页乱笺残,0.8992,0.2500,0.6492
qwen3.6-plus,祝英台近,玉兰春醒,玉魄冰心,doubao-seed-2.0-pro,沁园春,校道见玉兰花作,抱冰肌雪魄,0.8707,0.2222,0.6484
deepseek-3.2-thinking,祝英台近,玉兰感怀,闲倚栏杆,doubao-seed-2.0-pro,祝英台近,校中见玉兰作,倦倚阑干,0.8983,0.2500,0.6483
deepseek-3.2-thinking,祝英台近,玉兰感怀,闲倚栏杆,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,倦倚阑干,0.8983,0.2500,0.6483
qwen3.6-plus,浪淘沙,玉兰照影,素萼破霜英,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰葩雪萼,0.8705,0.2222,0.6482
deepseek-3.2-thinking,沁园春,白玉兰春感,素蕊凝霜,doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,0.8699,0.2222,0.6477
deepseek-3.2-thinking,沁园春,见玉兰有感,清辉皎皎,deepseek-3.2-thinking,祝英台近,见玉兰感怀,皎洁映清曙,0.8699,0.2222,0.6477
doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,冰肌缀玉,0.8968,0.2500,0.6468
deepseek-3.2-thinking,沁园春,玉兰新绽,冰心玉骨,doubao-seed-2.0-pro,沁园春,校道见玉兰花作,抱冰肌雪魄,0.8688,0.2222,0.6466
qwen3.6-plus,沁园春,玉兰,绽雪堆兰,doubao-seed-2.0-pro,菩萨蛮,春日楼前见玉兰作,玉兰堆雪融,0.8671,0.2222,0.6449
deepseek-3.2-thinking,祝英台近,玉兰感怀,闲倚栏杆,deepseek-3.2-thinking,浪淘沙,玉兰春悟,独倚阑干,0.8946,0.2500,0.6446
deepseek-3.2-thinking,祝英台近,玉兰感怀,独倚阑干,deepseek-3.2-thinking,祝英台近,玉兰感怀,闲倚栏杆,0.8946,0.2500,0.6446
qwen3.6-plus,菩萨蛮,玉兰启明,素绡凝晓寒,qwen3.6-plus,沁园春,玉兰照夜,破寒凝素,0.8665,0.2222,0.6443
doubao-seed-2.0-pro,沁园春,暮春观玉兰抒怀,素艳凝霜,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8662,0.2222,0.6440
deepseek-3.2-thinking,沁园春,见玉兰有感,冰魂傲骨,doubao-seed-2.0-pro,沁园春,校道见玉兰花作,抱冰肌雪魄,0.8645,0.2222,0.6423
deepseek-3.2-thinking,浪淘沙,玉兰春悟,独倚阑干,qwen3.6-plus,浪淘沙,玉兰悟,倦倚危栏,0.8921,0.2500,0.6421
deepseek-3.2-thinking,祝英台近,玉兰感怀,独倚阑干,qwen3.6-plus,浪淘沙,玉兰悟,倦倚危栏,0.8921,0.2500,0.6421
qwen3.6-plus,浪淘沙,玉兰吟,素萼破春寒,qwen3.6-plus,浪淘沙,玉兰吟,破雪含芳,0.8637,0.2222,0.6415
deepseek-3.2-thinking,沁园春,玉兰新悟,玉树琼葩,doubao-seed-2.0-pro,菩萨蛮,小园见玉兰作,琼枝缀玉容,0.8633,0.2222,0.6411
qwen3.6-plus,菩萨蛮,玉兰照雪,冰绡缀雪裁,doubao-seed-2.0-pro,祝英台近,校隅见玉兰感怀,裁成雪萼,0.8626,0.2222,0.6404
doubao-seed-2.0-pro,沁园春,见玉兰感怀,素萼凝霜,doubao-seed-2.0-pro,沁园春,见玉兰有感,纵霜凝素瓣,0.8617,0.2222,0.6395
qwen3.6-plus,菩萨蛮,见玉兰有感,素萼破寒枝,doubao-seed-2.0-pro,沁园春,院隅玉兰盛开感作,冰蕤破萼,0.8609,0.2222,0.6386
qwen3.6-plus,菩萨蛮,春庭见玉兰有感,素萼破寒枝,doubao-seed-2.0-pro,沁园春,院隅玉兰盛开感作,冰蕤破萼,0.8609,0.2222,0.6386
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,校院见玉兰偶作,案卷堆尘,0.8884,0.2500,0.6384
qwen3.6-plus,浪淘沙,玉兰照影,素萼破霜英,doubao-seed-2.0-pro,沁园春,观玉兰遣怀,清苞破萼,0.8602,0.2222,0.6379
doubao-seed-2.0-pro,沁园春,见玉兰感怀,冰苞琢玉,doubao-seed-2.0-pro,沁园春,校院见玉兰偶作,玉琢琼英,0.8871,0.2500,0.6371
qwen3.6-plus,祝英台近,玉兰春醒,玉魄冰心,doubao-seed-2.0-pro,沁园春,校中见玉兰感作,见冰魂素魄,0.8590,0.2222,0.6368
deepseek-3.2-thinking,清平乐,见玉兰有感,素华皎洁如霜,deepseek-3.2-thinking,祝英台近,见玉兰有感,皎如素,0.8590,0.2222,0.6367
qwen3.6-plus,菩萨蛮,玉兰照雪,冰绡缀雪裁,doubao-seed-2.0-pro,祝英台近,暮春见庭中玉兰感作,裁云镂雪,0.8581,0.2222,0.6359
qwen3.6-plus,浪淘沙,玉兰照影,素萼破霜英,doubao-seed-2.0-pro,沁园春,院隅玉兰盛开感作,冰蕤破萼,0.8576,0.2222,0.6354
qwen3.6-plus,菩萨蛮,春庭见玉兰有感,素萼破寒枝,doubao-seed-2.0-pro,沁园春,观玉兰遣怀,清苞破萼,0.8572,0.2222,0.6350
qwen3.6-plus,菩萨蛮,见玉兰有感,素萼破寒枝,doubao-seed-2.0-pro,沁园春,观玉兰遣怀,清苞破萼,0.8572,0.2222,0.6350
doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰葩雪萼,doubao-seed-2.0-pro,菩萨蛮,见玉兰感怀,素苞凝雪满,0.8543,0.2222,0.6320
qwen3.6-plus,祝英台近,玉兰引,素萼凝霜立,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰葩雪萼,0.8543,0.2222,0.6320
doubao-seed-2.0-pro,沁园春,校园见白玉兰作,爱素姿凝露,doubao-seed-2.0-pro,沁园春,校中见玉兰感作,偏凝素艳,0.8538,0.2222,0.6316
doubao-seed-2.0-pro,沁园春,暮春观玉兰抒怀,素艳凝霜,doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,0.8534,0.2222,0.6312
doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰葩雪萼,doubao-seed-2.0-pro,沁园春,见玉兰感怀,素萼凝霜,0.8810,0.2500,0.6310
qwen3.6-plus,祝英台近,玉兰见志,素萼凝辉,doubao-seed-2.0-pro,菩萨蛮,郊行见玉兰有感,琼葩凝素雪,0.8526,0.2222,0.6304
deepseek-3.2-thinking,沁园春,玉兰春感,有冰肌雪魄,deepseek-3.2-thinking,沁园春,玉兰新绽,冰心玉骨,0.8519,0.2222,0.6297
doubao-seed-2.0-pro,清平乐,春暮校园见玉兰作,尘堆试卷,doubao-seed-2.0-pro,沁园春,校院见玉兰偶作,案卷堆尘,0.8794,0.2500,0.6294
deepseek-3.2-thinking,沁园春,白玉兰吟,冰肌玉骨,doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,0.8793,0.2500,0.6293
doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,doubao-seed-2.0-pro,祝英台近,暮春见玉兰感作,冰肌玉骨,0.8793,0.2500,0.6293
qwen3.6-plus,祝英台近,玉兰见志,冰肌玉骨,doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,0.8793,0.2500,0.6293
deepseek-3.2-thinking,沁园春,白玉兰吟,冰肌玉骨,doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,玉琢香肌,0.8793,0.2500,0.6293
deepseek-3.2-thinking,沁园春,玉兰新绽,冰心玉骨,qwen3.6-plus,沁园春,玉兰照影,念冰肌自洁,0.8514,0.2222,0.6292
qwen3.6-plus,祝英台近,玉兰吟,琼英破雪,qwen3.6-plus,浪淘沙,玉兰照影,素萼破霜英,0.8512,0.2222,0.6290
deepseek-3.2-thinking,菩萨蛮,白玉兰下感怀,皎洁如明镜,qwen3.6-plus,沁园春,玉明心,皎皎映月,0.8509,0.2222,0.6287
doubao-seed-2.0-pro,浪淘沙,院隅见玉兰感作,案上卷堆荒,doubao-seed-2.0-pro,清平乐,校中见玉兰有作,缣堆案满,0.8504,0.2222,0.6282
deepseek-3.2-thinking,沁园春,见玉兰有感,清辉皎皎,deepseek-3.2-thinking,菩萨蛮,遇玉兰有感,皎洁如明月,0.8503,0.2222,0.6281
doubao-seed-2.0-pro,祝英台近,校园见玉兰偶作,攒云堆雪,doubao-seed-2.0-pro,浪淘沙,校园见玉兰感作,琼雪堆云,0.8773,0.2500,0.6273
qwen3.6-plus,沁园春,玉兰吟,素萼凝雪,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,冰葩雪萼,0.8770,0.2500,0.6270
deepseek-3.2-thinking,沁园春,玉兰春感,心事渺茫,deepseek-3.2-thinking,沁园春,见玉兰有感,意绪茫茫,0.8748,0.2500,0.6248
doubao-seed-2.0-pro,清平乐,庭中观玉兰有感,堆书满案,doubao-seed-2.0-pro,祝英台近,校道见玉兰花作,案书堆,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,校中观白玉兰感怀,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,校中见玉兰感作,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,暮春观玉兰抒怀,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,校中见玉兰花作,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
doubao-seed-2.0-pro,沁园春,见玉兰感怀,案积尘笺,doubao-seed-2.0-pro,祝英台近,校隅见玉兰作,笺积案,0.9100,0.2857,0.6243
qwen3.6-plus,浪淘沙,玉兰悟,静守真诠,qwen3.6-plus,祝英台近,玉兰见志,静参玄悟,0.8742,0.2500,0.6242
deepseek-3.2-thinking,沁园春,见白玉兰有感,皎洁似玉,qwen3.6-plus,祝英台近,玉兰树下有感,皎皎冰姿,0.8727,0.2500,0.6227
deepseek-3.2-thinking,沁园春,见白玉兰有感,皎洁似玉,deepseek-3.2-thinking,沁园春,白玉兰感怀,洁白如冰,0.8715,0.2500,0.6215
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,校中观白玉兰感怀,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,见玉兰感怀,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,沁园春,暮春观玉兰抒怀,案积尘笺,doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,案积尘笺,doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,校中见玉兰感作,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,校中见玉兰花作,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,案积尘笺,0.8713,0.2500,0.6213
doubao-seed-2.0-pro,清平乐,校园见玉兰作,堆书案畔,doubao-seed-2.0-pro,祝英台近,校道见玉兰花作,案书堆,0.9066,0.2857,0.6209
deepseek-3.2-thinking,沁园春,玉兰吟,幽香暗送,doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,暗递天香,0.8696,0.2500,0.6196
deepseek-3.2-thinking,沁园春,见玉兰有感,幽香暗送,doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,暗递天香,0.8696,0.2500,0.6196
deepseek-3.2-thinking,沁园春,白玉兰感赋,幽香暗送,doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,暗递天香,0.8696,0.2500,0.6196
doubao-seed-2.0-pro,清平乐,校园见玉兰感怀,尘书堆案,doubao-seed-2.0-pro,沁园春,院隅玉兰盛开感作,案积尘编,0.8688,0.2500,0.6188
doubao-seed-2.0-pro,祝英台近,春暮校中见玉兰作,扫尽尘霾,doubao-seed-2.0-pro,沁园春,校中观玉兰有感,俗尘尽扫,0.8670,0.2500,0.6170
doubao-seed-2.0-pro,祝英台近,校中见玉兰感怀,曲廊步,doubao-seed-2.0-pro,菩萨蛮,阶下望玉兰作,闲步过回廊,0.8665,0.2500,0.6165
deepseek-3.2-thinking,清平乐,见玉兰有感,风尘满袖,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,袖满征尘,0.8661,0.2500,0.6161
