词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
177,deepseek-3.2-thinking,沁园春,宗门变革之惑,23,0.3266,0.0058,0.7200,0.2500
161,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3262,0.0054,0.6706,0.3636
133,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3260,0.0047,0.6266,0.2500
243,qwen3.6-plus,沁园春,宗门夜思,25,0.3260,0.0106,0.7471,0.2857
34,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3257,0.0020,0.6871,0.2857
222,qwen3.6-plus,沁园春,云崖规谏,23,0.3257,0.0065,0.6030,0.2857
209,qwen3.6-plus,沁园春,戒律思变,28,0.3256,0.0076,0.6473,0.3333
228,qwen3.6-plus,沁园春,破阵吟,24,0.3256,0.0099,0.6389,0.2500
203,qwen3.6-plus,沁园春,观宗门戒律有感,25,0.3251,0.0085,0.6076,0.2857
172,deepseek-3.2-thinking,沁园春,宗门夜思,25,0.3248,0.0078,0.6321,0.2857
185,deepseek-3.2-thinking,沁园春,宗规吟,25,0.3248,0.0135,0.8087,0.7500
213,qwen3.6-plus,沁园春,剑阁春思,25,0.3247,0.0036,0.6671,0.2500
212,qwen3.6-plus,沁园春,破阵辞,13,0.3247,0.0023,0.5633,0.1818
94,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3247,0.0034,0.8119,0.2500
157,deepseek-3.2-thinking,沁园春,宗门感事,25,0.3246,0.0072,0.7546,0.2857
190,deepseek-3.2-thinking,沁园春,宗门感事,25,0.3246,0.0078,0.7504,0.5000
100,doubao-seed-2.0-pro,沁园春,云门感事,25,0.3245,0.0072,0.5900,0.2500
105,deepseek-3.2-thinking,沁园春,宗门变革感怀,25,0.3245,0.0076,0.8038,0.5000
175,deepseek-3.2-thinking,沁园春,感怀宗规,25,0.3243,0.0147,0.7197,0.5000
181,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3241,0.0093,0.6925,0.6000
145,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3240,0.0096,0.7978,0.2857
39,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3240,0.0083,0.6373,0.2500
60,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3238,0.0077,0.6526,0.3333
91,doubao-seed-2.0-pro,沁园春,宗中述怀,25,0.3238,0.0011,0.6676,0.1818
85,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3234,0.0048,0.6353,0.2500
78,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3232,0.0039,0.7387,0.2500
41,doubao-seed-2.0-pro,沁园春,感宗门事,25,0.3229,0.0054,0.5608,0.2500
232,qwen3.6-plus,沁园春,破戒吟,18,0.3229,0.0119,0.5810,0.2857
89,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3229,0.0086,0.6152,0.5000
70,doubao-seed-2.0-pro,沁园春,宗门感怀,24,0.3227,0.0070,0.6066,0.3636
7,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3223,0.0056,0.7797,0.2857
155,deepseek-3.2-thinking,沁园春,宗门夜思,25,0.3217,0.0192,0.7181,0.5000
83,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3217,0.0046,0.7882,0.2857
211,qwen3.6-plus,沁园春,云崖规训,14,0.3215,0.0075,0.6244,0.2500
24,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3214,0.0030,0.6001,0.2500
51,doubao-seed-2.0-pro,沁园春,山门抒怀,25,0.3211,0.0023,0.5898,0.2500
104,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3210,0.0072,0.5624,0.2857
163,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3209,0.0150,0.8898,0.8889
217,qwen3.6-plus,沁园春,剑阁规诫吟,13,0.3207,0.0032,0.5652,0.2500
28,doubao-seed-2.0-pro,沁园春,仙门感怀,25,0.3206,0.0050,0.6892,0.2500
121,deepseek-3.2-thinking,沁园春,宗门思变,25,0.3206,0.0180,0.7487,0.5000
186,deepseek-3.2-thinking,沁园春,宗规感怀,28,0.3206,0.0106,0.6168,0.3636
61,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3205,0.0042,0.6864,0.2500
74,doubao-seed-2.0-pro,沁园春,宗门述怀,21,0.3202,0.0028,0.6586,0.2500
193,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3199,0.0074,0.6884,0.2500
19,doubao-seed-2.0-pro,沁园春,宗门夜感,25,0.3198,0.0051,0.6216,0.3333
93,doubao-seed-2.0-pro,沁园春,宗门述怀,26,0.3197,0.0012,0.6252,0.2000
224,qwen3.6-plus,沁园春,玄门问律,14,0.3197,0.0018,0.4835,0.1667
96,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3194,0.0054,0.6623,0.2500
29,doubao-seed-2.0-pro,沁园春,宗阁感怀,25,0.3190,0.0023,0.6170,0.2500
55,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3188,0.0076,0.6788,0.5000
208,qwen3.6-plus,沁园春,宗规叹,23,0.3187,0.0050,0.7447,0.2500
237,qwen3.6-plus,沁园春,玄门掣电,25,0.3184,0.0044,0.6118,0.2500
77,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3181,0.0054,0.6420,0.2857
98,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3180,0.0058,0.6380,0.2857
167,deepseek-3.2-thinking,沁园春,宗门感怀,27,0.3180,0.0122,0.6800,0.5000
38,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3179,0.0047,0.6969,0.2500
150,deepseek-3.2-thinking,沁园春,宗规叹,25,0.3179,0.0072,0.5936,0.2500
248,qwen3.6-plus,沁园春,玄门改制有感,26,0.3179,0.0108,0.6364,0.2857
115,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3178,0.0058,0.7234,0.2500
165,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3176,0.0103,0.7937,0.5000
250,qwen3.6-plus,沁园春,宗阁书怀,26,0.3174,0.0060,0.6155,0.2500
264,qwen3.6-plus,沁园春,宗门思变,25,0.3172,0.0054,0.6828,0.2500
110,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3172,0.0116,0.6503,0.4615
135,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3171,0.0108,0.7134,0.2857
71,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3168,0.0036,0.6574,0.2500
149,deepseek-3.2-thinking,沁园春,规革感怀,25,0.3168,0.0147,0.7091,0.5000
102,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3167,0.0025,0.6764,0.2857
101,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3166,0.0040,0.6432,0.2500
76,doubao-seed-2.0-pro,沁园春,仙门感怀,25,0.3166,0.0049,0.5563,0.2500
119,deepseek-3.2-thinking,沁园春,规革吟,25,0.3165,0.0112,0.7299,0.5000
125,deepseek-3.2-thinking,沁园春,规革吟,25,0.3164,0.0067,0.7091,0.2857
109,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3164,0.0064,0.6159,0.2857
40,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3162,0.0063,0.6717,0.3333
79,doubao-seed-2.0-pro,沁园春,清霄峰述怀,25,0.3161,0.0049,0.7108,0.3333
259,qwen3.6-plus,沁园春,玄门长老书怀,25,0.3161,0.0101,0.7263,0.3636
9,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3161,0.0072,0.6139,0.2857
182,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3160,0.0184,0.7384,0.5000
180,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3154,0.0102,0.5657,0.5000
206,qwen3.6-plus,沁园春,问道玄枢,25,0.3152,0.0050,0.6055,0.2500
131,deepseek-3.2-thinking,沁园春,宗门抒怀,26,0.3151,0.0091,0.6047,0.2857
127,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3149,0.0063,0.6152,0.2500
12,doubao-seed-2.0-pro,沁园春,宗中抒怀,25,0.3149,0.0050,0.5415,0.2500
37,doubao-seed-2.0-pro,沁园春,宗门述怀,25,0.3148,0.0018,0.6214,0.3077
30,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3145,0.0037,0.7091,0.2500
142,deepseek-3.2-thinking,沁园春,宗规思变,25,0.3145,0.0086,0.7432,0.5000
69,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3145,0.0033,0.7241,0.3333
4,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3144,0.0051,0.6719,0.2500
10,doubao-seed-2.0-pro,沁园春,宗门述怀,25,0.3141,0.0034,0.5898,0.2857
189,deepseek-3.2-thinking,沁园春,规改感怀,25,0.3141,0.0123,0.6193,0.2857
147,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3140,0.0046,0.6949,0.2500
113,deepseek-3.2-thinking,沁园春,宗规挣扎,25,0.3140,0.0067,0.6474,0.5000
58,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3139,0.0036,0.7316,0.3333
50,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3138,0.0028,0.5962,0.2500
183,deepseek-3.2-thinking,沁园春,改革挣扎,25,0.3134,0.0098,0.7062,0.4444
179,deepseek-3.2-thinking,沁园春,抒怀,25,0.3133,0.0120,0.7401,0.5000
49,doubao-seed-2.0-pro,沁园春,立雪台晚望抒怀,25,0.3132,0.0064,0.6511,0.2500
2,doubao-seed-2.0-pro,沁园春,宗阁夜望抒怀,25,0.3130,0.0046,0.5864,0.2500
25,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3129,0.0007,0.6487,0.2000
59,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3129,0.0073,0.5969,0.2500
33,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3127,0.0036,0.6795,0.2500
73,doubao-seed-2.0-pro,沁园春,望仙台抒怀,25,0.3122,0.0026,0.7022,0.3333
124,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3121,0.0099,0.6394,0.5000
107,deepseek-3.2-thinking,沁园春,规变感怀,22,0.3120,0.0052,0.6295,0.2500
54,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3120,0.0065,0.6011,0.2857
99,doubao-seed-2.0-pro,沁园春,宗中感怀,25,0.3117,0.0086,0.6248,0.2500
62,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3113,0.0055,0.6645,0.2857
82,doubao-seed-2.0-pro,沁园春,玄峰夜坐有感,25,0.3113,0.0038,0.6884,0.2500
144,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3111,0.0051,0.6411,0.3333
53,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3108,0.0069,0.6615,0.2500
106,deepseek-3.2-thinking,沁园春,宗门感怀,26,0.3107,0.0075,0.6221,0.2857
18,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3107,0.0008,0.5778,0.2500
223,qwen3.6-plus,沁园春,玄门夜思,22,0.3106,0.0019,0.6618,0.2222
92,doubao-seed-2.0-pro,沁园春,玄门感怀,25,0.3103,0.0063,0.8846,0.6667
43,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3101,0.0063,0.6526,0.3333
114,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3101,0.0094,0.6005,0.5000
86,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3099,0.0069,0.6647,0.2500
21,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3099,0.0067,0.6575,0.2500
204,qwen3.6-plus,沁园春,观规思变,13,0.3099,0.0032,0.5970,0.2500
103,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3098,0.0060,0.6799,0.2500
246,qwen3.6-plus,沁园春,宗中思变,25,0.3094,0.0068,0.6216,0.3333
201,qwen3.6-plus,沁园春,玄渊阁规谏,22,0.3094,0.0080,0.5914,0.2500
80,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3093,0.0074,0.6694,0.2500
240,qwen3.6-plus,沁园春,宗阁夜思,25,0.3093,0.0089,0.6153,0.4000
67,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3090,0.0019,0.6595,0.2222
66,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3089,0.0059,0.7353,0.2500
68,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3088,0.0039,0.6526,0.3333
136,deepseek-3.2-thinking,沁园春,仙门感怀,25,0.3087,0.0101,0.7515,0.2500
158,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.3084,0.0083,0.7347,0.4444
32,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3080,0.0048,0.6989,0.2500
26,doubao-seed-2.0-pro,沁园春,玄门感怀,25,0.3080,0.0016,0.6936,0.3333
1,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3079,0.0052,0.5758,0.2500
173,deepseek-3.2-thinking,沁园春,规革感怀,25,0.3074,0.0085,0.6018,0.2857
88,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3074,0.0033,0.6001,0.2857
22,doubao-seed-2.0-pro,沁园春,云阁抒怀,25,0.3072,0.0018,0.6920,0.2500
87,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3072,0.0049,0.6629,0.2857
72,doubao-seed-2.0-pro,沁园春,宗门述怀,25,0.3071,0.0066,0.6097,0.2500
198,deepseek-3.2-thinking,沁园春,宗规沉吟,25,0.3071,0.0090,0.6350,0.3636
31,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3069,0.0039,0.7367,0.2500
5,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3066,0.0056,0.5999,0.2857
11,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3063,0.0025,0.7363,0.2500
151,deepseek-3.2-thinking,沁园春,宗门感事,25,0.3060,0.0111,0.5825,0.3636
137,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3059,0.0086,0.8594,0.8889
202,qwen3.6-plus,沁园春,宗门新律,20,0.3050,0.0086,0.6639,0.2857
57,doubao-seed-2.0-pro,沁园春,登宗峰感怀,25,0.3048,0.0013,0.6035,0.2222
46,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.3042,0.0048,0.6157,0.2500
184,deepseek-3.2-thinking,沁园春,宗门感遇,25,0.3039,0.0072,0.7031,0.2500
14,doubao-seed-2.0-pro,沁园春,宗阁夜思,25,0.3039,0.0034,0.6112,0.2500
146,deepseek-3.2-thinking,沁园春,宗派感遇,25,0.3038,0.0036,0.6251,0.2500
13,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3033,0.0039,0.6607,0.3636
16,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3031,0.0033,0.6083,0.2500
52,doubao-seed-2.0-pro,沁园春,宗门改制受阻书怀,25,0.3026,0.0066,0.7077,0.2500
35,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3026,0.0081,0.6526,0.3333
194,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.3017,0.0123,0.6742,0.2857
56,doubao-seed-2.0-pro,沁园春,宗门抒怀,25,0.3017,0.0041,0.6143,0.2500
95,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3017,0.0017,0.7220,0.3333
156,deepseek-3.2-thinking,沁园春,仙宗感怀,25,0.3008,0.0033,0.7217,0.2500
191,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.3003,0.0069,0.6258,0.3636
6,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.3001,0.0073,0.6936,0.3333
231,qwen3.6-plus,沁园春,云崖问道,31,0.2998,0.0081,0.6493,0.5000
140,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.2993,0.0093,0.6216,0.3333
65,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.2993,0.0053,0.7353,0.2857
262,qwen3.6-plus,沁园春,道枢新论,26,0.2984,0.0094,0.5665,0.3333
123,deepseek-3.2-thinking,沁园春,宗规感怀,25,0.2979,0.0071,0.6755,0.5000
8,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.2970,0.0068,0.7623,0.2857
90,doubao-seed-2.0-pro,沁园春,宗门感怀,25,0.2967,0.0062,0.6275,0.2500
162,deepseek-3.2-thinking,沁园春,宗派感怀,25,0.2964,0.0022,0.5438,0.2500
48,doubao-seed-2.0-pro,沁园春,宗门述志,26,0.2960,0.0037,0.6161,0.2500
