词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
306,qwen3.6-plus,沁园春,秋望,13,0.3750,0.0028,0.6970,0.2222
348,qwen3.6-plus,清平乐,秋暮旅思,8,0.3748,0.0060,0.7000,0.1667
261,qwen3.6-plus,菩萨蛮,秋夜思,8,0.3726,0.0202,0.8698,0.4000
136,doubao-seed-2.0-pro,祝英台近,枫桥晚泊,16,0.3722,0.0121,0.7035,0.2857
305,qwen3.6-plus,菩萨蛮,江亭夜泊,8,0.3721,0.0060,0.5982,0.1667
163,doubao-seed-2.0-pro,清平乐,初夏闲居,8,0.3720,0.0000,0.6301,0.0000
143,doubao-seed-2.0-pro,清平乐,夏暮过城西荷亭,8,0.3720,0.0000,0.5863,0.0000
653,glm-5,祝英台近,秋思,16,0.3716,0.0108,0.7743,0.3333
57,doubao-seed-2.0-pro,清平乐,山窗纳凉,8,0.3712,0.0055,0.4937,0.1538
253,qwen3.6-plus,祝英台近,秋江暮望,16,0.3705,0.0091,0.6461,0.2857
654,glm-5,祝英台近,秋思,16,0.3704,0.0079,0.6672,0.2000
41,doubao-seed-2.0-pro,菩萨蛮,秋江晚望,8,0.3704,0.0000,0.5680,0.0000
107,doubao-seed-2.0-pro,清平乐,山窗晚坐,8,0.3702,0.0055,0.5573,0.1538
179,doubao-seed-2.0-pro,清平乐,夏暮过野塘,8,0.3691,0.0000,0.5020,0.0000
267,qwen3.6-plus,沁园春,秋江望古,13,0.3691,0.0054,0.6538,0.2222
361,qwen3.6-plus,祝英台近,秋夜客怀,18,0.3690,0.0053,0.6854,0.2500
349,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3689,0.0000,0.5922,0.0000
202,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3687,0.0202,0.8138,0.4000
265,qwen3.6-plus,清平乐,秋江晚泊,8,0.3685,0.0055,0.4970,0.1538
304,qwen3.6-plus,清平乐,秋暮客思,8,0.3682,0.0126,0.5677,0.2000
118,doubao-seed-2.0-pro,祝英台近,皋亭晚泊,16,0.3681,0.0102,0.6438,0.2222
34,doubao-seed-2.0-pro,祝英台近,秋郊废园感旧,16,0.3681,0.0038,0.5749,0.1818
203,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3681,0.0000,0.5659,0.0000
371,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3679,0.0190,0.5843,0.2000
583,deepseek-3.2-thinking,祝英台近,秋思,16,0.3675,0.0225,0.8544,0.6667
248,qwen3.6-plus,祝英台近,秋登吴台怀古,19,0.3674,0.0066,0.7700,0.2222
89,doubao-seed-2.0-pro,祝英台近,过横塘旧居,16,0.3670,0.0037,0.6013,0.1667
96,doubao-seed-2.0-pro,浪淘沙,客中秋望,10,0.3668,0.0032,0.6788,0.1429
210,qwen3.6-plus,菩萨蛮,秋江暮望,8,0.3667,0.0071,0.6010,0.2000
479,deepseek-3.2-thinking,菩萨蛮,智境寻幽,8,0.3667,0.0179,0.6546,0.1667
561,deepseek-3.2-thinking,菩萨蛮,秋夜寄怀,8,0.3654,0.0060,0.5511,0.1667
307,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3652,0.0000,0.5982,0.0000
501,deepseek-3.2-thinking,菩萨蛮,屏间梦,8,0.3649,0.0119,0.4821,0.1667
251,qwen3.6-plus,沁园春,秋江夜泊,13,0.3646,0.0032,0.7139,0.2500
88,doubao-seed-2.0-pro,祝英台近,秋江旅思,16,0.3645,0.0038,0.6730,0.1818
217,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3643,0.0000,0.5741,0.0000
180,doubao-seed-2.0-pro,清平乐,夏日闲居,8,0.3642,0.0060,0.5953,0.1667
422,deepseek-3.2-thinking,清平乐,暮春感怀,8,0.3640,0.0060,0.4879,0.1667
651,glm-5,祝英台近,秋夜听雨,16,0.3639,0.0101,0.6673,0.2500
282,qwen3.6-plus,清平乐,秋庭夜思,8,0.3639,0.0000,0.5401,0.0000
649,glm-5,祝英台近,秋夜怀人,16,0.3636,0.0140,0.6641,0.2857
19,doubao-seed-2.0-pro,浪淘沙,客中秋望,10,0.3634,0.0081,0.6638,0.1818
636,glm-5,祝英台近,秋暮怀远,16,0.3633,0.0082,0.6730,0.2500
337,qwen3.6-plus,清平乐,秋暮登楼,8,0.3631,0.0060,0.5042,0.1667
28,doubao-seed-2.0-pro,菩萨蛮,秋暮江楼怀远,8,0.3629,0.0000,0.5927,0.0000
170,doubao-seed-2.0-pro,清平乐,夏晚荷亭,8,0.3623,0.0185,0.5794,0.1818
539,deepseek-3.2-thinking,祝英台近,春暮感旧,16,0.3619,0.0050,0.6609,0.2500
129,doubao-seed-2.0-pro,菩萨蛮,客中秋夜,8,0.3616,0.0131,0.6181,0.2000
314,qwen3.6-plus,菩萨蛮,秋山隐逸,8,0.3613,0.0060,0.6483,0.1667
673,glm-5,祝英台近,暮秋怀远,20,0.3613,0.0072,0.6566,0.3333
531,deepseek-3.2-thinking,祝英台近,秋思,16,0.3610,0.0023,0.6210,0.1538
232,qwen3.6-plus,祝英台近,春暮寄远,16,0.3607,0.0010,0.7393,0.1250
403,deepseek-3.2-thinking,清平乐,数字幻游,8,0.3606,0.0114,0.6411,0.1667
123,doubao-seed-2.0-pro,祝英台近,枫江晚泊怀友,16,0.3605,0.0089,0.6250,0.2222
335,qwen3.6-plus,清平乐,秋江客思,8,0.3604,0.0060,0.5747,0.1667
76,doubao-seed-2.0-pro,菩萨蛮,秋江夜泊,8,0.3601,0.0202,0.5715,0.2000
187,doubao-seed-2.0-pro,菩萨蛮,初夏过旧居,8,0.3597,0.0000,0.4995,0.0000
246,qwen3.6-plus,清平乐,秋江晚钓,8,0.3597,0.0000,0.5259,0.0000
631,glm-5,祝英台近,羁怀,16,0.3596,0.0125,0.6774,0.2857
372,qwen3.6-plus,祝英台近,秋暮客怀,18,0.3596,0.0057,0.6890,0.2857
430,deepseek-3.2-thinking,菩萨蛮,江晚秋思,8,0.3594,0.0000,0.6683,0.0000
149,doubao-seed-2.0-pro,菩萨蛮,江楼晚望,8,0.3593,0.0000,0.7205,0.0000
85,doubao-seed-2.0-pro,清平乐,夏晚野塘,8,0.3592,0.0000,0.4907,0.0000
369,qwen3.6-plus,清平乐,夜坐,8,0.3589,0.0256,0.7611,0.3636
264,qwen3.6-plus,浪淘沙,秋江暮望,9,0.3587,0.0159,0.5951,0.2222
154,doubao-seed-2.0-pro,清平乐,夏居野兴,8,0.3584,0.0060,0.4487,0.1667
182,doubao-seed-2.0-pro,祝英台近,秋晚过废园,16,0.3583,0.0034,0.5315,0.2857
424,deepseek-3.2-thinking,清平乐,夜航,8,0.3583,0.0000,0.5541,0.0000
236,qwen3.6-plus,浪淘沙,秋江夜泊,5,0.3582,0.0000,0.4648,0.0000
559,deepseek-3.2-thinking,祝英台近,秋日怀人,16,0.3580,0.0071,0.6091,0.2500
20,doubao-seed-2.0-pro,菩萨蛮,秋夜江泊,8,0.3580,0.0071,0.4970,0.2000
639,glm-5,菩萨蛮,夜雨修谱,8,0.3580,0.0131,0.5536,0.2000
538,deepseek-3.2-thinking,祝英台近,秋江夜泊,16,0.3579,0.0058,0.5928,0.2500
281,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3579,0.0071,0.5702,0.2000
177,doubao-seed-2.0-pro,祝英台近,秋窗忆旧,16,0.3577,0.0037,0.5951,0.1818
284,qwen3.6-plus,沁园春,秋望,13,0.3575,0.0000,0.5884,0.0000
161,doubao-seed-2.0-pro,菩萨蛮,秋江夜泊寄远,8,0.3575,0.0000,0.5193,0.0000
254,qwen3.6-plus,祝英台近,秋江别绪,16,0.3572,0.0059,0.6406,0.2222
381,qwen3.6-plus,祝英台近,秋江夜泊,18,0.3571,0.0104,0.6846,0.2857
227,qwen3.6-plus,清平乐,秋江晚望,8,0.3570,0.0000,0.5863,0.0000
165,doubao-seed-2.0-pro,清平乐,郊原晚望,8,0.3569,0.0000,0.5282,0.0000
171,doubao-seed-2.0-pro,祝英台近,枫桥晚望有寄,16,0.3567,0.0041,0.6514,0.1818
478,deepseek-3.2-thinking,祝英台近,秋夜怀远,16,0.3564,0.0090,0.6589,0.2857
189,doubao-seed-2.0-pro,菩萨蛮,秋夜书怀,8,0.3563,0.0000,0.7585,0.0000
526,deepseek-3.2-thinking,浪淘沙,星河怀古,10,0.3563,0.0165,0.6145,0.2500
2,doubao-seed-2.0-pro,菩萨蛮,秋夜枫桥怀友,8,0.3562,0.0119,0.5685,0.1667
112,doubao-seed-2.0-pro,沁园春,客中秋思,25,0.3559,0.0078,0.7528,0.2857
127,doubao-seed-2.0-pro,清平乐,郊行晚望,8,0.3558,0.0000,0.5647,0.0000
343,qwen3.6-plus,浪淘沙,江秋夜思,10,0.3557,0.0162,0.6324,0.2222
48,doubao-seed-2.0-pro,祝英台近,枫桥晚泊,16,0.3554,0.0097,0.6597,0.2500
436,deepseek-3.2-thinking,菩萨蛮,数字夜思,8,0.3553,0.0170,0.6357,0.1667
199,doubao-seed-2.0-pro,沁园春,秋过横塘旧居感旧,25,0.3550,0.0044,0.6646,0.2500
669,glm-5,祝英台近,暮春怀远,16,0.3547,0.0158,0.6756,0.2500
541,deepseek-3.2-thinking,祝英台近,秋江夜泊,16,0.3545,0.0039,0.5883,0.2000
18,doubao-seed-2.0-pro,菩萨蛮,山居秋暮,8,0.3543,0.0000,0.5258,0.0000
138,doubao-seed-2.0-pro,菩萨蛮,秋楼晚望,8,0.3541,0.0000,0.5490,0.0000
147,doubao-seed-2.0-pro,菩萨蛮,江楼旅思,8,0.3539,0.0060,0.5771,0.1667
252,qwen3.6-plus,祝英台近,秋江吟,9,0.3538,0.0000,0.6658,0.0000
212,qwen3.6-plus,祝英台近,秋江夜泊,16,0.3537,0.0011,0.5640,0.1333
388,qwen3.6-plus,祝英台近,秋江独望,18,0.3535,0.0103,0.7437,0.2500
286,qwen3.6-plus,菩萨蛮,秋江暮眺,8,0.3535,0.0102,0.5229,0.1429
242,qwen3.6-plus,清平乐,秋江晚望,8,0.3535,0.0060,0.6244,0.1667
322,qwen3.6-plus,浪淘沙,秋江望月,9,0.3532,0.0218,0.6709,0.3333
176,doubao-seed-2.0-pro,祝英台近,秋夜山驿忆旧,16,0.3528,0.0031,0.6103,0.2500
360,qwen3.6-plus,浪淘沙,探月,10,0.3528,0.0109,0.5992,0.1818
17,doubao-seed-2.0-pro,菩萨蛮,秋江晚泊,8,0.3526,0.0000,0.5550,0.0000
158,doubao-seed-2.0-pro,祝英台近,秋暮过故人居,16,0.3526,0.0060,0.6116,0.2500
221,qwen3.6-plus,浪淘沙,秋江望古,10,0.3525,0.0069,0.5936,0.1667
32,doubao-seed-2.0-pro,清平乐,夏晚郊居,8,0.3524,0.0060,0.5675,0.1667
345,qwen3.6-plus,菩萨蛮,秋山幽居,8,0.3524,0.0143,0.7984,0.4000
492,deepseek-3.2-thinking,清平乐,山行,8,0.3524,0.0000,0.5385,0.0000
139,doubao-seed-2.0-pro,祝英台近,秋窗忆远,16,0.3523,0.0043,0.6039,0.2222
114,doubao-seed-2.0-pro,浪淘沙,客中秋望,10,0.3521,0.0087,0.5594,0.2500
97,doubao-seed-2.0-pro,清平乐,郊居晚步,8,0.3519,0.0000,0.5970,0.0000
22,doubao-seed-2.0-pro,祝英台近,夏晚过荷湾忆旧,16,0.3518,0.0035,0.5617,0.1538
128,doubao-seed-2.0-pro,沁园春,钱塘观潮,25,0.3517,0.0092,0.6325,0.2500
299,qwen3.6-plus,祝英台近,秋江吟,16,0.3517,0.0037,0.5848,0.1818
595,glm-5,清平乐,冬夜,8,0.3513,0.0000,0.5006,0.0000
370,qwen3.6-plus,菩萨蛮,秋夜,8,0.3513,0.0131,0.6084,0.2000
428,deepseek-3.2-thinking,清平乐,秋夜寄怀,8,0.3511,0.0000,0.5588,0.0000
293,qwen3.6-plus,祝英台近,秋江夜泊,16,0.3510,0.0023,0.5723,0.1538
312,qwen3.6-plus,清平乐,秋江夜泊,8,0.3509,0.0060,0.6161,0.1667
329,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3509,0.0122,0.5583,0.2000
520,deepseek-3.2-thinking,沁园春,数字古典赋,26,0.3503,0.0096,0.6873,0.5714
92,doubao-seed-2.0-pro,清平乐,夏居闲意,8,0.3499,0.0000,0.5563,0.0000
35,doubao-seed-2.0-pro,沁园春,秋泊瓜洲晚望,25,0.3499,0.0030,0.6546,0.2500
525,deepseek-3.2-thinking,沁园春,智能时代感赋,25,0.3498,0.0105,0.7297,0.4000
277,qwen3.6-plus,祝英台近,秋浦夜泊,16,0.3492,0.0051,0.6855,0.2857
472,deepseek-3.2-thinking,菩萨蛮,江秋怀远,8,0.3490,0.0143,0.6418,0.4000
157,doubao-seed-2.0-pro,清平乐,山行偶作,8,0.3488,0.0065,0.6007,0.1818
228,qwen3.6-plus,祝英台近,秋暮登临,16,0.3487,0.0031,0.6390,0.2500
5,doubao-seed-2.0-pro,祝英台近,荷亭忆旧,16,0.3484,0.0039,0.6130,0.1818
665,glm-5,沁园春,秋怀,25,0.3483,0.0038,0.6201,0.4444
287,qwen3.6-plus,祝英台近,春暮怀远,8,0.3483,0.0000,0.5270,0.0000
353,qwen3.6-plus,菩萨蛮,秋暮山行,8,0.3482,0.0060,0.5340,0.1667
633,glm-5,清平乐,秋暮,8,0.3480,0.0126,0.4963,0.2000
273,qwen3.6-plus,祝英台近,秋江晚泊,16,0.3479,0.0044,0.6070,0.2500
684,glm-5,祝英台近,秋夜怀远,16,0.3478,0.0046,0.5952,0.2222
648,glm-5,菩萨蛮,秋暮宿山寺,8,0.3477,0.0000,0.6417,0.0000
78,doubao-seed-2.0-pro,祝英台近,秋泊枫桥怀人,16,0.3475,0.0010,0.5668,0.1250
121,doubao-seed-2.0-pro,菩萨蛮,夏暮荷堤闲步,8,0.3475,0.0000,0.5708,0.0000
310,qwen3.6-plus,祝英台近,秋江吟,16,0.3474,0.0010,0.6896,0.1250
68,doubao-seed-2.0-pro,清平乐,秋江晚泊,8,0.3471,0.0000,0.5257,0.0000
364,qwen3.6-plus,祝英台近,秋江晚眺,16,0.3470,0.0089,0.6229,0.2857
150,doubao-seed-2.0-pro,菩萨蛮,夏日湖亭晚眺,8,0.3468,0.0071,0.5851,0.2000
316,qwen3.6-plus,菩萨蛮,秋江暮望,8,0.3468,0.0000,0.6891,0.0000
216,qwen3.6-plus,清平乐,秋夜怀远,8,0.3462,0.0000,0.5272,0.0000
173,doubao-seed-2.0-pro,菩萨蛮,客中夜雨,8,0.3461,0.0000,0.5901,0.0000
573,deepseek-3.2-thinking,沁园春,智助吟怀,25,0.3460,0.0053,0.6620,0.2857
480,deepseek-3.2-thinking,祝英台近,夜航,16,0.3459,0.0048,0.5226,0.2500
664,glm-5,菩萨蛮,秋江晚望,8,0.3458,0.0182,0.5369,0.2000
290,qwen3.6-plus,沁园春,秋江独眺,13,0.3456,0.0061,0.6469,0.2500
342,qwen3.6-plus,菩萨蛮,秋江暮望,8,0.3450,0.0000,0.6148,0.0000
175,doubao-seed-2.0-pro,祝英台近,秋窗忆远,16,0.3450,0.0064,0.6087,0.2222
604,glm-5,浪淘沙,春晚登楼,10,0.3449,0.0040,0.6055,0.1818
394,deepseek-3.2-thinking,菩萨蛮,江行,8,0.3449,0.0000,0.5224,0.0000
116,doubao-seed-2.0-pro,沁园春,重过洞庭,25,0.3448,0.0047,0.5816,0.2500
432,deepseek-3.2-thinking,浪淘沙,江夜行舟,10,0.3448,0.0086,0.4900,0.2222
240,qwen3.6-plus,祝英台近,秋江晚眺,16,0.3448,0.0022,0.6042,0.1429
159,doubao-seed-2.0-pro,祝英台近,客中忆吴中旧游,16,0.3447,0.0023,0.6065,0.1538
460,deepseek-3.2-thinking,清平乐,春暮感怀,8,0.3447,0.0000,0.4965,0.0000
15,doubao-seed-2.0-pro,菩萨蛮,秋晚江楼怀乡,8,0.3447,0.0000,0.5175,0.0000
133,doubao-seed-2.0-pro,菩萨蛮,夏夜枫桥泊舟,8,0.3446,0.0071,0.5252,0.2000
268,qwen3.6-plus,祝英台近,暮江吟,17,0.3445,0.0121,0.5937,0.2857
495,deepseek-3.2-thinking,祝英台近,数字怀旧,16,0.3441,0.0010,0.6252,0.1250
548,deepseek-3.2-thinking,沁园春,智宇新程,25,0.3440,0.0091,0.6956,0.3636
205,qwen3.6-plus,祝英台近,秋夜闻砧,8,0.3439,0.0000,0.6233,0.0000
54,doubao-seed-2.0-pro,菩萨蛮,夏暮过郊野旧居,8,0.3438,0.0000,0.5671,0.0000
275,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3438,0.0111,0.5478,0.1667
186,doubao-seed-2.0-pro,清平乐,秋江晚眺,8,0.3437,0.0071,0.4865,0.2000
666,glm-5,祝英台近,秋思,16,0.3437,0.0045,0.6214,0.2857
190,doubao-seed-2.0-pro,沁园春,秋日登栖霞岭望西湖,25,0.3436,0.0019,0.6514,0.2222
258,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3435,0.0060,0.4924,0.1667
263,qwen3.6-plus,菩萨蛮,秋江晚眺,8,0.3433,0.0000,0.6371,0.0000
151,doubao-seed-2.0-pro,浪淘沙,秋泊感旧,10,0.3433,0.0094,0.5889,0.2222
84,doubao-seed-2.0-pro,祝英台近,枫江晚泊,16,0.3433,0.0079,0.6422,0.2500
191,doubao-seed-2.0-pro,祝英台近,过旧居怀友,16,0.3431,0.0056,0.5326,0.2000
359,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3429,0.0179,0.6450,0.1667
80,doubao-seed-2.0-pro,清平乐,晚泊枫桥,8,0.3429,0.0119,0.4880,0.1667
608,glm-5,清平乐,秋怀,8,0.3428,0.0000,0.4844,0.0000
197,doubao-seed-2.0-pro,浪淘沙,秋泊瓜洲,10,0.3428,0.0000,0.6320,0.0000
16,doubao-seed-2.0-pro,清平乐,秋江晚泊,8,0.3428,0.0000,0.5271,0.0000
193,doubao-seed-2.0-pro,祝英台近,秋晚过西溪旧游处,16,0.3427,0.0038,0.6244,0.1818
544,deepseek-3.2-thinking,祝英台近,云屏忆,16,0.3424,0.0065,0.6181,0.2857
225,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3423,0.0131,0.5659,0.2000
470,deepseek-3.2-thinking,清平乐,秋夜寄怀,8,0.3419,0.0060,0.4987,0.1667
553,deepseek-3.2-thinking,沁园春,数字时代感怀,25,0.3419,0.0076,0.6762,0.2500
500,deepseek-3.2-thinking,祝英台近,秋夜思,16,0.3419,0.0044,0.5689,0.2000
482,deepseek-3.2-thinking,清平乐,夜网幽思,8,0.3417,0.0196,0.5352,0.2000
311,qwen3.6-plus,沁园春,秋江吟,25,0.3417,0.0059,0.7924,0.2500
325,qwen3.6-plus,清平乐,秋江夜泊,8,0.3417,0.0000,0.5814,0.0000
471,deepseek-3.2-thinking,清平乐,夜读,8,0.3415,0.0184,0.5885,0.1818
375,qwen3.6-plus,沁园春,古渡秋暝,25,0.3412,0.0081,0.6588,0.4000
643,glm-5,祝英台近,晚秋怀远,16,0.3411,0.0127,0.6741,0.2500
297,qwen3.6-plus,祝英台近,秋江夜泊,16,0.3411,0.0058,0.5421,0.2500
536,deepseek-3.2-thinking,沁园春,星海遐思,25,0.3410,0.0102,0.6829,0.3333
36,doubao-seed-2.0-pro,浪淘沙,秋登北固山望大江作,10,0.3410,0.0096,0.5666,0.2500
593,glm-5,清平乐,秋夜怀人,8,0.3409,0.0060,0.5248,0.1667
69,doubao-seed-2.0-pro,祝英台近,秋夜寄远,16,0.3407,0.0027,0.7142,0.2000
14,doubao-seed-2.0-pro,清平乐,郊居秋暮,8,0.3407,0.0060,0.5128,0.1667
183,doubao-seed-2.0-pro,沁园春,秋过西湖故友旧居,25,0.3401,0.0038,0.7154,0.2857
324,qwen3.6-plus,祝英台近,春暮怀远,16,0.3399,0.0022,0.5829,0.1429
206,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3398,0.0131,0.6394,0.2000
641,glm-5,菩萨蛮,春晚,8,0.3397,0.0131,0.7017,0.2000
142,doubao-seed-2.0-pro,祝英台近,暮春怀京口旧游,16,0.3395,0.0102,0.5945,0.2500
26,doubao-seed-2.0-pro,沁园春,秋登采石矶太白楼感作,25,0.3394,0.0027,0.5939,0.2500
135,doubao-seed-2.0-pro,清平乐,夏郊闲居,8,0.3394,0.0000,0.4809,0.0000
426,deepseek-3.2-thinking,菩萨蛮,秋江夜泊,8,0.3392,0.0131,0.5154,0.2000
546,deepseek-3.2-thinking,沁园春,智能时代咏,26,0.3391,0.0098,0.6515,0.2857
303,qwen3.6-plus,菩萨蛮,江畔秋思,8,0.3390,0.0221,0.5306,0.1667
674,glm-5,沁园春,赛博纪梦,26,0.3390,0.0051,0.6624,0.2500
566,deepseek-3.2-thinking,沁园春,数字时代,25,0.3389,0.0134,0.6452,0.5000
550,deepseek-3.2-thinking,祝英台近,数字时代感怀,16,0.3389,0.0163,0.5972,0.2222
513,deepseek-3.2-thinking,菩萨蛮,暮江秋思,8,0.3387,0.0000,0.5476,0.0000
644,glm-5,祝英台近,山居即事,16,0.3386,0.0081,0.6069,0.2857
90,doubao-seed-2.0-pro,清平乐,秋郊晚眺,8,0.3384,0.0065,0.6085,0.1818
211,qwen3.6-plus,祝英台近,秋江暮思,16,0.3384,0.0069,0.6841,0.2000
137,doubao-seed-2.0-pro,清平乐,秋江晚泊,8,0.3382,0.0065,0.6056,0.1818
132,doubao-seed-2.0-pro,祝英台近,客中忆吴兴旧隐,16,0.3379,0.0077,0.6008,0.2857
519,deepseek-3.2-thinking,祝英台近,书斋夜读,16,0.3379,0.0027,0.6463,0.2000
131,doubao-seed-2.0-pro,祝英台近,晚过横塘忆旧,16,0.3379,0.0051,0.6895,0.2857
25,doubao-seed-2.0-pro,菩萨蛮,秋夜江楼待故人不至,8,0.3378,0.0000,0.5107,0.0000
285,qwen3.6-plus,祝英台近,秋江别,16,0.3376,0.0042,0.5893,0.2222
387,qwen3.6-plus,沁园春,秋江夜眺,25,0.3373,0.0092,0.8051,0.6000
555,deepseek-3.2-thinking,祝英台近,秋夜怀人,16,0.3371,0.0053,0.5767,0.2000
21,doubao-seed-2.0-pro,沁园春,暮秋登北固山寄塞上故人,25,0.3368,0.0057,0.6910,0.2500
498,deepseek-3.2-thinking,祝英台近,江晚怀旧,16,0.3368,0.0089,0.5651,0.3333
