词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
154,doubao-seed-2.0-pro,沁园春,校园见玉兰花感怀,25,0.3385,0.0056,0.5957,0.2857
541,qwen3.6-plus,沁园春,玉兰,25,0.3385,0.0101,0.6292,0.2857
18,doubao-seed-2.0-pro,沁园春,校园见玉兰花感怀,25,0.3383,0.0054,0.6731,0.3333
185,doubao-seed-2.0-pro,沁园春,校圃观玉兰有感,25,0.3383,0.0053,0.8031,0.3333
197,doubao-seed-2.0-pro,沁园春,春日见玉兰作,25,0.3382,0.0099,0.6674,0.2857
117,doubao-seed-2.0-pro,沁园春,校道见玉兰感怀,25,0.3382,0.0029,0.6761,0.4444
417,qwen3.6-plus,沁园春,白玉兰叹,13,0.3378,0.0055,0.6102,0.2500
476,qwen3.6-plus,沁园春,玉兰吟,25,0.3373,0.0046,0.6427,0.2500
380,deepseek-3.2-thinking,沁园春,玉兰吟,25,0.3371,0.0132,0.8408,0.5000
494,qwen3.6-plus,沁园春,玉兰偶成,25,0.3370,0.0072,0.6078,0.2500
418,qwen3.6-plus,沁园春,玉兰辞,13,0.3369,0.0096,0.5925,0.2500
477,qwen3.6-plus,沁园春,玉兰赋,25,0.3369,0.0079,0.6894,0.2500
130,doubao-seed-2.0-pro,沁园春,春暮见檐下玉兰感作,25,0.3368,0.0044,0.6136,0.2857
482,qwen3.6-plus,沁园春,庭前玉兰,25,0.3367,0.0131,0.6574,0.2857
420,qwen3.6-plus,沁园春,玉兰启思,13,0.3367,0.0000,0.5862,0.0000
439,qwen3.6-plus,沁园春,玉兰辞,13,0.3366,0.0069,0.5823,0.2857
112,doubao-seed-2.0-pro,沁园春,庭中见玉兰作,25,0.3366,0.0109,0.6555,0.2500
187,doubao-seed-2.0-pro,沁园春,校中观玉兰感怀,25,0.3365,0.0054,0.7432,0.2857
67,doubao-seed-2.0-pro,沁园春,校中见玉兰感作,25,0.3365,0.0092,0.6350,0.2500
71,doubao-seed-2.0-pro,沁园春,见玉兰感怀,25,0.3363,0.0033,0.6177,0.2500
20,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3363,0.0105,0.6104,0.2500
165,doubao-seed-2.0-pro,沁园春,校中见玉兰感作,25,0.3361,0.0082,0.7148,0.2857
272,deepseek-3.2-thinking,沁园春,玉兰见志,25,0.3361,0.0103,0.6490,0.2500
460,qwen3.6-plus,沁园春,玉兰启思,22,0.3361,0.0076,0.6966,0.2500
125,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感怀,25,0.3360,0.0043,0.6109,0.2857
408,qwen3.6-plus,沁园春,玉兰映雪,13,0.3358,0.0032,0.7296,0.2500
549,qwen3.6-plus,沁园春,咏玉兰示己,25,0.3358,0.0145,0.7011,0.3636
89,doubao-seed-2.0-pro,沁园春,寓楼观玉兰花感怀,25,0.3357,0.0041,0.6718,0.2500
113,doubao-seed-2.0-pro,沁园春,春日见玉兰偶作,25,0.3353,0.0041,0.5701,0.2500
44,doubao-seed-2.0-pro,沁园春,寓舍观玉兰感作,25,0.3351,0.0041,0.5587,0.2500
37,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3350,0.0056,0.5969,0.2857
469,qwen3.6-plus,沁园春,玉兰解嘲,23,0.3350,0.0073,0.6386,0.2857
146,doubao-seed-2.0-pro,沁园春,校园观玉兰感怀,25,0.3349,0.0046,0.6676,0.2500
83,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3348,0.0026,0.6305,0.2500
498,qwen3.6-plus,沁园春,见玉兰有感,25,0.3346,0.0077,0.6219,0.2500
410,qwen3.6-plus,沁园春,玉兰照眼,13,0.3344,0.0037,0.5752,0.2857
290,deepseek-3.2-thinking,沁园春,玉兰春悟,25,0.3344,0.0168,0.8931,0.5000
3,doubao-seed-2.0-pro,沁园春,寓舍见玉兰有感,25,0.3343,0.0044,0.6925,0.2500
172,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3342,0.0119,0.6661,0.2857
118,doubao-seed-2.0-pro,沁园春,校园见玉兰作,26,0.3341,0.0037,0.6811,0.2222
196,doubao-seed-2.0-pro,沁园春,见院中玉兰感怀,25,0.3339,0.0084,0.8106,0.3333
162,doubao-seed-2.0-pro,沁园春,寓所见玉兰花感作,25,0.3338,0.0099,0.7530,0.2857
109,doubao-seed-2.0-pro,沁园春,校隅见玉兰作,25,0.3338,0.0059,0.5591,0.2500
515,qwen3.6-plus,沁园春,见白玉兰有作,25,0.3334,0.0096,0.6404,0.2500
12,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3334,0.0051,0.6014,0.2857
513,qwen3.6-plus,沁园春,观玉兰有怀,25,0.3334,0.0061,0.6079,0.2500
458,qwen3.6-plus,沁园春,玉阑春望,13,0.3333,0.0032,0.5291,0.2500
262,deepseek-3.2-thinking,沁园春,玉兰感遇,25,0.3331,0.0011,0.5851,0.3333
472,qwen3.6-plus,沁园春,玉兰照夜,13,0.3331,0.0028,0.6000,0.2222
52,doubao-seed-2.0-pro,沁园春,寓舍见玉兰有感,25,0.3329,0.0019,0.7147,0.2500
29,doubao-seed-2.0-pro,沁园春,檐下见玉兰感作,25,0.3329,0.0028,0.5822,0.2857
487,qwen3.6-plus,沁园春,见玉兰有感,25,0.3328,0.0064,0.6887,0.2500
524,qwen3.6-plus,沁园春,玉兰寄怀,25,0.3328,0.0088,0.5864,0.2500
461,qwen3.6-plus,沁园春,玉兰初绽有怀,13,0.3327,0.0064,0.5512,0.2500
452,qwen3.6-plus,沁园春,玉兰寄怀,13,0.3326,0.0060,0.5477,0.2857
182,doubao-seed-2.0-pro,沁园春,寓阶见玉兰花作,25,0.3324,0.0095,0.6720,0.2857
256,deepseek-3.2-thinking,沁园春,玉兰吟,25,0.3324,0.0102,0.7192,0.2857
13,doubao-seed-2.0-pro,沁园春,阶前见玉兰作,25,0.3324,0.0066,0.6086,0.3636
16,doubao-seed-2.0-pro,沁园春,校园见玉兰花作,25,0.3320,0.0037,0.6014,0.2857
474,qwen3.6-plus,沁园春,玉兰吟,25,0.3319,0.0091,0.6633,0.2857
152,doubao-seed-2.0-pro,沁园春,寓舍见玉兰有感,25,0.3316,0.0039,0.6051,0.2222
508,qwen3.6-plus,沁园春,玉兰树下有感,25,0.3312,0.0099,0.6664,0.2500
94,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3312,0.0074,0.7654,0.5714
434,qwen3.6-plus,沁园春,玉兰照夜,13,0.3309,0.0053,0.6255,0.2500
43,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,25,0.3309,0.0042,0.6468,0.2500
430,qwen3.6-plus,沁园春,玉兰启悟,25,0.3309,0.0039,0.7178,0.2500
546,qwen3.6-plus,沁园春,玉兰偶得,25,0.3307,0.0141,0.6810,0.4000
480,qwen3.6-plus,沁园春,玉兰吟,25,0.3306,0.0122,0.8076,0.4444
124,doubao-seed-2.0-pro,沁园春,春日观玉兰偶作,25,0.3304,0.0060,0.6031,0.2857
547,qwen3.6-plus,沁园春,见玉兰有感,25,0.3304,0.0097,0.7268,0.2857
254,deepseek-3.2-thinking,沁园春,玉兰感怀,25,0.3304,0.0091,0.7645,0.5000
456,qwen3.6-plus,沁园春,玉兰照眼,25,0.3302,0.0075,0.6859,0.2500
441,qwen3.6-plus,沁园春,玉兰照夜,25,0.3301,0.0062,0.6387,0.2500
136,doubao-seed-2.0-pro,沁园春,见阶前玉兰感怀,25,0.3300,0.0089,0.7793,0.5714
159,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3300,0.0028,0.6309,0.2222
181,doubao-seed-2.0-pro,沁园春,檐下观玉兰感作,25,0.3299,0.0078,0.7654,0.5714
194,doubao-seed-2.0-pro,沁园春,庭前观玉兰感作,25,0.3297,0.0067,0.6928,0.2857
432,qwen3.6-plus,沁园春,玉兰启志,13,0.3297,0.0064,0.6470,0.2500
1,doubao-seed-2.0-pro,沁园春,阶前见玉兰感作,25,0.3297,0.0090,0.8141,0.5714
527,qwen3.6-plus,沁园春,庭阶玉兰有作,25,0.3293,0.0077,0.6749,0.2500
486,qwen3.6-plus,沁园春,玉兰树下有感,25,0.3293,0.0109,0.6509,0.2857
175,doubao-seed-2.0-pro,沁园春,春日见玉兰有感,25,0.3293,0.0051,0.6513,0.2857
528,qwen3.6-plus,沁园春,玉兰启悟,25,0.3292,0.0047,0.6924,0.2500
11,doubao-seed-2.0-pro,沁园春,见玉兰感怀,25,0.3292,0.0087,0.6002,0.2857
517,qwen3.6-plus,沁园春,白玉兰下作,25,0.3292,0.0082,0.7340,0.2500
68,doubao-seed-2.0-pro,沁园春,校中观玉兰感怀,25,0.3291,0.0022,0.5862,0.2222
133,doubao-seed-2.0-pro,沁园春,校园见玉兰花感怀,25,0.3291,0.0047,0.6770,0.2857
338,deepseek-3.2-thinking,沁园春,玉兰春醒,25,0.3289,0.0187,0.7835,0.5000
499,qwen3.6-plus,沁园春,见玉兰有感,25,0.3288,0.0066,0.7110,0.2500
516,qwen3.6-plus,沁园春,玉兰庭前悟,25,0.3286,0.0075,0.6133,0.2500
438,qwen3.6-plus,沁园春,玉兰照夜,25,0.3286,0.0054,0.6549,0.3333
259,deepseek-3.2-thinking,沁园春,见玉兰有感,25,0.3284,0.0121,0.6473,0.2500
108,doubao-seed-2.0-pro,沁园春,春行见玉兰感怀,25,0.3284,0.0028,0.5542,0.2857
191,doubao-seed-2.0-pro,沁园春,校园见玉兰抒怀,25,0.3284,0.0072,0.6969,0.3333
14,doubao-seed-2.0-pro,沁园春,校园见玉兰感作,25,0.3284,0.0056,0.7060,0.3333
429,qwen3.6-plus,沁园春,玉兰初绽有感,25,0.3284,0.0066,0.6577,0.2500
470,qwen3.6-plus,沁园春,玉兰启怀,23,0.3283,0.0044,0.5850,0.2857
132,doubao-seed-2.0-pro,沁园春,阶前见玉兰感作,25,0.3282,0.0098,0.8089,0.5714
199,doubao-seed-2.0-pro,沁园春,校隅观玉兰作,25,0.3282,0.0081,0.5885,0.2500
107,doubao-seed-2.0-pro,沁园春,校园见玉兰花作,25,0.3281,0.0087,0.7229,0.3333
305,deepseek-3.2-thinking,沁园春,白玉兰,25,0.3280,0.0063,0.6559,0.2857
505,qwen3.6-plus,沁园春,玉兰偶感,25,0.3280,0.0089,0.7474,0.3077
105,doubao-seed-2.0-pro,沁园春,校隅见玉兰作,25,0.3280,0.0067,0.6731,0.2857
209,deepseek-3.2-thinking,沁园春,玉兰初绽赋,25,0.3280,0.0075,0.6583,0.4000
169,doubao-seed-2.0-pro,沁园春,寓所见玉兰抒怀,25,0.3279,0.0038,0.6325,0.2500
63,doubao-seed-2.0-pro,沁园春,校园见玉兰盛放感怀,25,0.3278,0.0117,0.7312,0.5714
158,doubao-seed-2.0-pro,沁园春,校隅见玉兰感作,25,0.3278,0.0084,0.7158,0.4000
453,qwen3.6-plus,沁园春,玉兰辞,13,0.3277,0.0060,0.5773,0.2857
384,deepseek-3.2-thinking,沁园春,玉兰感怀,25,0.3277,0.0112,0.6859,0.4444
19,doubao-seed-2.0-pro,沁园春,校园见玉兰有感,25,0.3276,0.0116,0.6144,0.2857
150,doubao-seed-2.0-pro,沁园春,校园见玉兰作,25,0.3275,0.0067,0.6174,0.2500
4,doubao-seed-2.0-pro,沁园春,檐下见玉兰花作,25,0.3275,0.0060,0.6207,0.3077
405,qwen3.6-plus,沁园春,玉兰引,13,0.3275,0.0000,0.6237,0.0000
522,qwen3.6-plus,沁园春,见白玉兰有感,25,0.3274,0.0044,0.7647,0.3636
167,doubao-seed-2.0-pro,沁园春,阶前观玉兰感怀,25,0.3273,0.0084,0.8031,0.3333
28,doubao-seed-2.0-pro,沁园春,校园见玉兰感作,25,0.3273,0.0050,0.7763,0.2857
151,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,25,0.3273,0.0092,0.6152,0.2500
475,qwen3.6-plus,沁园春,玉兰辞,25,0.3272,0.0085,0.6660,0.2500
147,doubao-seed-2.0-pro,沁园春,见玉兰感怀,25,0.3272,0.0047,0.6372,0.2500
21,doubao-seed-2.0-pro,沁园春,春暮见玉兰感作,25,0.3272,0.0017,0.6985,0.2857
479,qwen3.6-plus,沁园春,庭前玉兰有感,25,0.3269,0.0067,0.7342,0.2500
543,qwen3.6-plus,沁园春,玉兰树下有感,25,0.3269,0.0103,0.6664,0.2857
141,doubao-seed-2.0-pro,沁园春,见檐下玉兰感作,25,0.3268,0.0113,0.6283,0.2500
454,qwen3.6-plus,沁园春,玉堂春醒,24,0.3267,0.0064,0.6044,0.4000
423,qwen3.6-plus,沁园春,玉兰照夜,13,0.3266,0.0069,0.5214,0.2857
493,qwen3.6-plus,沁园春,见玉兰有怀,25,0.3265,0.0057,0.7046,0.2222
249,deepseek-3.2-thinking,沁园春,玉兰吟,25,0.3265,0.0037,0.6582,0.2500
428,qwen3.6-plus,沁园春,玉兰启悟,25,0.3264,0.0070,0.6279,0.2500
173,doubao-seed-2.0-pro,沁园春,校园观玉兰有感,25,0.3263,0.0025,0.6276,0.2500
241,deepseek-3.2-thinking,沁园春,玉兰新绽寄怀,25,0.3262,0.0058,0.6646,0.2500
504,qwen3.6-plus,沁园春,玉兰见志,25,0.3260,0.0067,0.6710,0.3636
168,doubao-seed-2.0-pro,沁园春,校道见玉兰花作,25,0.3259,0.0023,0.6629,0.2222
45,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3259,0.0095,0.5521,0.2857
394,deepseek-3.2-thinking,沁园春,玉兰新开,26,0.3257,0.0173,0.9172,0.5000
374,deepseek-3.2-thinking,沁园春,玉兰感怀,25,0.3256,0.0083,0.6522,0.2857
190,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3255,0.0093,0.5878,0.2500
129,doubao-seed-2.0-pro,沁园春,院隅见玉兰感作,25,0.3253,0.0056,0.6918,0.2500
542,qwen3.6-plus,沁园春,观玉兰有感,25,0.3252,0.0114,0.7196,0.2500
116,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,25,0.3252,0.0015,0.6690,0.2222
36,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3251,0.0084,0.6207,0.2500
27,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3251,0.0050,0.6599,0.2500
311,deepseek-3.2-thinking,沁园春,玉兰新赋,25,0.3251,0.0091,0.6493,0.4000
156,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3251,0.0058,0.6918,0.2500
42,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3250,0.0071,0.6300,0.2857
143,doubao-seed-2.0-pro,沁园春,校苑见玉兰感作,25,0.3249,0.0068,0.5737,0.2857
101,doubao-seed-2.0-pro,沁园春,暮春见玉兰有感,25,0.3249,0.0092,0.6763,0.3333
294,deepseek-3.2-thinking,沁园春,白玉兰见志,25,0.3247,0.0045,0.6312,0.2667
359,deepseek-3.2-thinking,沁园春,白玉兰吟,25,0.3244,0.0138,0.6471,0.4444
386,deepseek-3.2-thinking,沁园春,玉兰赋,25,0.3243,0.0066,0.6807,0.2857
97,doubao-seed-2.0-pro,沁园春,校中观玉兰感怀,25,0.3243,0.0091,0.6280,0.2500
300,deepseek-3.2-thinking,沁园春,玉兰初绽寄怀,25,0.3243,0.0099,0.7991,0.5000
319,deepseek-3.2-thinking,沁园春,玉兰新悟,25,0.3241,0.0022,0.5785,0.2500
39,doubao-seed-2.0-pro,沁园春,阶前见玉兰感怀,25,0.3239,0.0048,0.7510,0.2857
533,qwen3.6-plus,沁园春,玉兰吟,25,0.3239,0.0076,0.6139,0.2500
473,qwen3.6-plus,沁园春,玉兰启怀,23,0.3239,0.0082,0.6830,0.2500
545,qwen3.6-plus,沁园春,见白玉兰有作,25,0.3238,0.0082,0.6436,0.3333
529,qwen3.6-plus,沁园春,玉兰见志,25,0.3237,0.0126,0.7182,0.6667
520,qwen3.6-plus,沁园春,白玉兰下偶成,25,0.3237,0.0038,0.7146,0.2857
464,qwen3.6-plus,沁园春,见玉兰有悟,25,0.3236,0.0056,0.6619,0.2857
15,doubao-seed-2.0-pro,沁园春,校园见玉兰花感作,25,0.3235,0.0055,0.7124,0.2857
518,qwen3.6-plus,沁园春,玉兰启悟,25,0.3235,0.0051,0.6898,0.2500
26,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3234,0.0072,0.8106,0.3333
171,doubao-seed-2.0-pro,沁园春,庭前见玉兰花作,25,0.3233,0.0046,0.6243,0.2500
246,deepseek-3.2-thinking,沁园春,见玉兰有感,25,0.3233,0.0043,0.5674,0.2500
10,doubao-seed-2.0-pro,沁园春,春日见阶前玉兰有感,25,0.3232,0.0030,0.6474,0.2500
426,qwen3.6-plus,沁园春,玉兰辞,13,0.3231,0.0064,0.6448,0.2500
135,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花感作,25,0.3227,0.0044,0.7344,0.2857
47,doubao-seed-2.0-pro,沁园春,庭中见玉兰作,25,0.3226,0.0036,0.7263,0.2500
203,deepseek-3.2-thinking,沁园春,玉兰见志,25,0.3224,0.0025,0.6502,0.2500
7,doubao-seed-2.0-pro,沁园春,檐下观玉兰有感,25,0.3224,0.0026,0.5957,0.2222
390,deepseek-3.2-thinking,沁园春,白玉兰悟,25,0.3223,0.0081,0.6358,0.2857
163,doubao-seed-2.0-pro,沁园春,寓楼见玉兰作,25,0.3221,0.0089,0.7905,0.2857
31,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3220,0.0067,0.7253,0.2500
519,qwen3.6-plus,沁园春,玉兰引志,25,0.3219,0.0088,0.6597,0.3077
111,doubao-seed-2.0-pro,沁园春,春日见玉兰抒怀,25,0.3219,0.0042,0.7144,0.2500
176,doubao-seed-2.0-pro,沁园春,校隅见玉兰花作,25,0.3218,0.0028,0.6517,0.1818
354,deepseek-3.2-thinking,沁园春,白玉兰感遇,25,0.3218,0.0058,0.5653,0.4615
24,doubao-seed-2.0-pro,沁园春,寓舍观玉兰感怀,25,0.3218,0.0050,0.6478,0.2857
207,deepseek-3.2-thinking,沁园春,玉兰感赋,25,0.3216,0.0095,0.6282,0.2500
326,deepseek-3.2-thinking,沁园春,玉兰吟怀,25,0.3214,0.0088,0.6832,0.3333
184,doubao-seed-2.0-pro,沁园春,庭中见玉兰感作,25,0.3213,0.0035,0.6695,0.2500
70,doubao-seed-2.0-pro,沁园春,校园观玉兰感怀,25,0.3211,0.0063,0.8400,0.5714
160,doubao-seed-2.0-pro,沁园春,校园见玉兰作,25,0.3211,0.0055,0.7248,0.2500
17,doubao-seed-2.0-pro,沁园春,校中见玉兰花作,25,0.3208,0.0058,0.7613,0.3333
216,deepseek-3.2-thinking,沁园春,见玉兰有感,25,0.3208,0.0095,0.5716,0.2857
344,deepseek-3.2-thinking,沁园春,玉兰吟,25,0.3208,0.0106,0.6492,0.3636
161,doubao-seed-2.0-pro,沁园春,校园见玉兰作,25,0.3208,0.0042,0.6362,0.2500
532,qwen3.6-plus,沁园春,观玉兰有感,25,0.3207,0.0087,0.5623,0.2857
179,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3207,0.0045,0.6911,0.2857
538,qwen3.6-plus,沁园春,玉兰见怀,25,0.3205,0.0075,0.6462,0.2857
80,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3204,0.0057,0.7366,0.3333
123,doubao-seed-2.0-pro,沁园春,庭前观玉兰有感,25,0.3202,0.0054,0.6419,0.2857
356,deepseek-3.2-thinking,沁园春,见玉兰有感,25,0.3202,0.0017,0.6675,0.2000
92,doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,25,0.3201,0.0060,0.6217,0.2857
483,qwen3.6-plus,沁园春,玉兰寄怀,25,0.3201,0.0096,0.6730,0.2500
506,qwen3.6-plus,沁园春,白玉兰偶感,25,0.3201,0.0121,0.6809,0.3333
119,doubao-seed-2.0-pro,沁园春,观玉兰抒怀,25,0.3200,0.0036,0.6861,0.2500
85,doubao-seed-2.0-pro,沁园春,见玉兰感怀,25,0.3200,0.0058,0.5554,0.2500
376,deepseek-3.2-thinking,沁园春,玉兰新悟,25,0.3200,0.0091,0.6564,0.3636
58,doubao-seed-2.0-pro,沁园春,寓舍见白玉兰感作,25,0.3199,0.0061,0.6440,0.2857
25,doubao-seed-2.0-pro,沁园春,校隅见玉兰花感作,25,0.3198,0.0063,0.5870,0.2857
