db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,200,77,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.994457,main,0.871879,0.640856,0.975851,39950.545455,0.683820,0.113233,126.142857,0.180611,0.632401,126.142857,243.766234,0.760730,0.021953,0.766657,96.620779,0.763291,0.259749,1.000000,0.468311,0.257342,0.531551,0.111979,0.834600,0.119587,0.438969,2.644156,0.569243,0.450210,0.515678,0.116723
b2,五词牌-改革主题,type_d,qwen3.6-plus,161,77,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.987465,main,0.881723,0.641285,0.976746,36432.264935,0.669495,0.076971,126.142857,0.160195,0.620317,126.142857,234.618182,0.736497,0.020347,0.764864,159.984416,0.911257,0.231022,1.000000,0.443648,0.182060,0.514860,0.088953,0.834048,0.075785,0.416614,2.968831,0.569243,0.450210,0.515678,0.104639
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,200,77,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.997165,main,0.876197,0.482303,0.975846,40333.363636,0.706797,0.096943,126.142857,0.194269,0.612872,126.142857,244.779221,0.776767,0.000000,0.761537,65.511688,0.918440,0.272327,1.000000,0.431169,0.296304,0.512990,0.108445,0.834735,0.133620,0.406552,3.000000,0.569243,0.450210,0.515678,0.097194
b2,五词牌-改革主题,type_d,glm-5,63,57,4,浪淘沙|清平乐|祝英台近|菩萨蛮,0.966341,main,0.845567,0.692261,0.971312,12618.842105,0.638419,0.109162,103.736842,0.164779,0.579583,103.736842,154.894737,0.713021,0.011696,0.695028,73.315789,0.862185,0.232347,1.000000,0.438484,0.304672,0.488065,0.109937,0.802864,0.042249,0.199630,2.789474,0.545855,0.447473,0.501583,0.078000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,200,100,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.996929,main,0.868071,0.738877,0.970101,42142.000000,0.703466,0.140864,190.000000,0.190515,0.633744,190.000000,268.000000,0.774749,0.008434,0.748813,116.480000,0.374233,0.271238,1.000000,0.493105,0.237824,0.537725,0.099122,0.825709,0.097544,0.377684,1.880000,0.564364,0.449698,0.512764,0.120980
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,200,100,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.989373,main,0.853126,0.494526,0.916321,42592.680000,0.731134,0.261512,190.000000,0.212509,0.600294,190.000000,269.120000,0.813442,0.104853,0.713186,63.880000,0.243953,0.301991,0.999579,0.462313,0.431312,0.535046,0.218312,0.805108,0.174807,0.273474,1.720000,0.564364,0.449698,0.512764,0.087529
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,189,100,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.997590,main,0.856716,0.676842,0.958323,35005.160000,0.696704,0.159204,190.000000,0.192803,0.594300,190.000000,249.440000,0.764590,0.038242,0.698995,144.320000,0.330168,0.272878,1.000000,0.466339,0.236897,0.509607,0.109158,0.800003,0.084772,0.209895,1.960000,0.564364,0.449698,0.512764,0.081536
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,200,20,1,沁园春,0.000000,main,0.928459,0.339649,0.971716,118845.000000,0.845855,0.117912,190.000000,0.199841,0.764744,190.000000,500.200000,0.942632,0.016333,0.926879,163.400000,0.511231,0.279228,1.000000,0.566579,0.194222,0.638981,0.086585,0.905525,0.454737,0.977895,2.000000,0.635898,0.458012,0.555849,0.208895
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,200,20,1,沁园春,0.000000,main,0.911004,0.380351,0.939774,118845.000000,0.829931,0.220061,190.000000,0.187243,0.733310,190.000000,500.200000,0.907570,0.068221,0.882811,101.000000,0.186358,0.263876,1.000000,0.550587,0.331034,0.633983,0.170360,0.882178,0.410526,0.842105,1.800000,0.635898,0.458012,0.555849,0.177461
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,149,20,1,沁园春,0.000000,main,0.896932,0.549825,0.964287,84213.200000,0.760993,0.135451,190.000000,0.159639,0.641190,190.000000,421.600000,0.842422,0.041682,0.762631,179.600000,0.473288,0.227951,1.000000,0.492762,0.198933,0.542741,0.099335,0.830050,0.187719,0.392632,3.000000,0.635898,0.458012,0.555849,0.085341
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,20,1,沁园春,0.000000,main,0.928679,0.447719,0.976009,118084.000000,0.805421,0.111897,190.000000,0.193432,0.756360,190.000000,498.600000,0.899236,0.016641,0.928602,154.200000,0.557905,0.266029,1.000000,0.545841,0.181336,0.631295,0.092789,0.905049,0.354386,0.987368,2.800000,0.635898,0.458012,0.555849,0.200511
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,99,20,1,沁园春,0.000000,main,0.932413,0.307719,0.959355,118841.400000,0.826087,0.115707,190.000000,0.187498,0.731735,190.000000,500.200000,0.893844,0.000000,0.923193,83.400000,0.868720,0.253792,1.000000,0.497732,0.322306,0.612784,0.136212,0.906727,0.343158,0.950526,3.200000,0.635898,0.458012,0.555849,0.175886
c2,沁园春-改革主题,type_e,qwen3.6-plus,65,20,1,沁园春,0.000000,main,0.925966,0.407018,0.961657,92887.600000,0.762958,0.094205,190.000000,0.158057,0.686935,190.000000,442.600000,0.847669,0.039535,0.876583,219.200000,0.889157,0.213980,1.000000,0.455143,0.190737,0.572603,0.109208,0.887271,0.196842,0.775789,3.000000,0.635898,0.458012,0.555849,0.131086
