模型,句1词牌,句1题目,句1内容,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,沁园春,玄峰议事后感,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门夜坐感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,凌霄阁夜坐有感,振袂欲更弦,浪淘沙,云阁观弟子演武有怀,振袂欲更弦,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁夜坐有感,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜思,云锁玄峰,沁园春,宗门夜坐书怀,云锁玄峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,万仞凌霄,沁园春,凌霄峰感事,万仞凌霄,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,还虞倾覆,沁园春,云阁夜思,还虞倾覆,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,凝眸处,沁园春,凌霄峰感事,凝眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,此意徊徨,浪淘沙,云阁夜思,此意徊徨,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,陈章束性,沁园春,玄峰夜坐抒怀,陈章束性,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,抬眸处,沁园春,登云阁望剑坪有感,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,松露湿星坛,浪淘沙,云坛观弟子演法有怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,松露湿星坛,浪淘沙,宗门夜坐抒怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,松露湿星坛,浪淘沙,云阁夜思,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,松露湿星坛,浪淘沙,宗门夜坐感怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凝眸处,沁园春,凌霄峰感事,凝眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云阁夜思,松露湿星坛,浪淘沙,宗门夜坐感怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗阁夜坐抒怀,清规似铁,清平乐,宗门夜坐感怀,清规似铁,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,万仞凌霄,沁园春,宗门感事,万仞凌霄,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,万仞玄峰,沁园春,玄峰议事后感,万仞玄峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,夜诵经章,沁园春,宗门感怀,夜诵经章,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云坛观弟子演法有怀,松露湿星坛,浪淘沙,宗门夜坐抒怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云坛观弟子演法有怀,松露湿星坛,浪淘沙,云阁夜思,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云坛观弟子演法有怀,松露湿星坛,浪淘沙,宗门夜坐感怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,菩萨蛮,云崖夜坐有感,徘徊意两难,菩萨蛮,宗门夜坐感怀,徘徊意两难,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看青衿列侍,沁园春,宗门夜坐抒怀,看青衿列侍,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,还虞倾覆,沁园春,玄宗夜坐书怀,还虞倾覆,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,抬眸处,沁园春,登云阁望剑坪有感,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,还虞倾覆,沁园春,云阁夜思,还虞倾覆,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗门夜思,争奈群贤持旧,清平乐,宗门夜坐感怀,争奈群贤持旧,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐抒怀,松露湿星坛,浪淘沙,宗门夜坐感怀,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐抒怀,松露湿星坛,浪淘沙,云阁夜思,松露湿星坛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜思,抬眸处,沁园春,登云阁望剑坪有感,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,万仞凌霄,沁园春,凌霄峰感事,万仞凌霄,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,万仞仙峰,沁园春,宗阁有所思,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,万仞仙峰,沁园春,凌霄阁感怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,全凭纲纪,沁园春,凌霄宗感事,全凭纲纪,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,晨挥剑影,沁园春,凌霄阁夜坐抒怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁有所思,万仞仙峰,沁园春,凌霄阁夜坐抒怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,云锁丹台,沁园春,凌霄阁感怀,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,云锁丹台,沁园春,宗门夜坐感事,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,云锁丹台,沁园春,云阁夜思,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,云锁丹台,沁园春,宗门感怀,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,云阁夜望抒怀,也曾拟破樊笼,祝英台近,夜坐宗阁有感,也曾拟破樊笼,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,剑坪夜坐有感,束发诸生,祝英台近,云阁夜坐感事,束发诸生,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,剑坪夜坐有感,束发诸生,祝英台近,宗门夜坐感事,束发诸生,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,抬眸处,沁园春,玄峰议事后感,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云阁夜坐抒怀,我欲改陈编,浪淘沙,夜望宗门有感,我欲改陈编,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,万仞仙峰,沁园春,玄门感怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,万仞仙峰,沁园春,凌霄阁感怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗阁夜望有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,万仞仙峰,沁园春,凌霄阁夜坐抒怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,堪怜处,沁园春,宗门抒怀,堪怜处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,凌霄宗感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,凌霄宗感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
